"Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","Pathways","pro","anti","fitness","GoTerm","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3","p7.8","p10.7","p14","p17.8","p22","p26.8","p32.2","p38.4","p45.4","p53.3","p62.2","p72.3","RLS","buds"
"RPL34B","YIL052C","ORF","256226-257063","-","IX",NA,0,1,0,"0005840; 0022625; 0003735; 0002181; 0006412; 0005622; 0003735; 0005737; 0005737; 0005840; 0003735; 0003723; 0030529; 0042254; 0006412",2337.932483,2335.20082,2327.489323,2319.66005,2292.590452,2306.376734,2317.303934,2298.059357,2311.48448,2329.082856,2354.157012,2390.944082,205.1434547,208.4821072,213.7498948,223.0075499,241.5681435,244.6478579,246.6611206,242.6854444,232.4874171,234.7989943,234.8169825,228.1840827,"27,46,33,39,37,39,52,35,43,48,26,20,39,33,53,24,38,47,17,42,7,27,48,11,34,22,38,39,24,26,31,28,37,34,36,58,40,38,43,42,53,8,36,22,17,41,22,21,43,39,63,19,51,59,52,39,22,44,43,39,32,61,32,51,20,67,13,42,56,34,27,15,14,34,33,35,19,58,37,60,24,43,45,38,56,34",36.2093023255814
"pkp1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46,36,51,28,17,37,42,26,44,50,39,38,33,29,35,29,52,49,35,30,24,29,38,23,25,46,26,45,39,35,34,46,38,45,39,27,37,44,47,34,51,27,27,32,18",36.0444444444444
"UBP8","YMR223W","ORF","716715-718130","+","XIII",NA,0,0,1,"0000124; 0071819; 0004843; 0000124; 0006508; 0006511; 0016579; 0008380; 0006355; 0008270; 0032947; 0032947; 0034729; 0051568; 0036459; 0046695; 0008234; 0046872; 0036459; 0016787; 0005634; 0005634; 0008233; 0006351; 0061136; 0043161; 0004197; 0005634; 0016578",14.48473432,14.70020604,14.93316196,15.18307197,15.5709394,15.76764278,15.43131336,13.58402454,12.92409486,13.00202444,13.80347669,15.77554069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33,28,19,30,6,24,17,26,24,43,53,41,23,8,34,21,48,25,38,38,19,41,22,35,24,59,27,26,18,40,40,46,45,47,43,37,28,30,14,49,54,45,39,17,40,44,33,30,55,18,37,33,55,22,35,39,45,43,49,45,48,40,33,44,41,43,56,32,55,47,45,10,57,27,43,23,56,41,43,38,38,43,50,40,22",36.0235294117647
"YJR015W","YJR015W","ORF","462721-464253","+","X",NA,NA,NA,NA,"0005783; 0005783; 0005737; 0003674; 0008150; 0005789; 0016021; 0016021; 0005783; 0016020",32.50570891,32.69365823,32.93443452,33.09907951,33.57851363,32.87074401,32.25177437,32.53135622,33.10225413,34.22780882,36.1917613,39.26431338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39,37,35,28,41",36
"XPT1","YJR133W","ORF","672991-673620","+","X","salvage pathways of guanine, xanthine and their nucleosides; salvage pathways of purines and their nucleosides",NA,NA,NA,"0006164; 0016740; 0009116; 0032265; 0004422; 0005737; 0000310; 0005737; 0016757; 0005737; 0046100",67.6632629,69.8693608,72.57565054,75.2512461,80.34243123,80.08140399,77.65069685,70.4126345,71.6904294,72.90614133,74.86916125,76.69598352,70.58332581,72.27260461,72.21378582,69.79808374,61.81423958,49.5612554,45.4775984,43.40434962,44.43701743,45.64453929,49.34488438,56.16188795,"37,29,40,36,38",36
"PPH21","YDL134C","ORF","219662-220771","-","IV",NA,NA,NA,NA,"0007117; 0004721; 0005737; 0006417; 0016787; 0010494; 0007094; 0004722; 0000082; 0070262; 0046872; 0004721; 0016787; 0005634; 0000159; 0006470; 0007015",79.75970659,78.96196754,79.06886374,79.8763711,83.83325752,85.45745444,85.46581779,81.79470026,72.77467671,67.38445581,63.30565479,62.97171345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37,36,43,28,31,45,39,39,42,42,19,42,27,25,35,35,42,43,44,45,50,28,23,37,27,38,41,43,23,47,38,29,52,39,34,25,42,33,24,37,46,35,35,24,58,24,31,55,31,30,47,26,62,59,20,49,14,5,28,33,45,26,35,50,10,43,36,45,46,22,32,24,50,51,31,53,35,35,41,49,45,5,34,28,46,12",35.9302325581395
"YBR113W","YBR113W","ORF","465566-466048","+","II",NA,NA,NA,NA,NA,24.88247742,24.93031311,24.96804917,24.8842335,24.94833531,24.09409219,23.24963548,23.02281048,22.44438544,22.4985842,23.40641284,25.73585314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34,47,40,31,27",35.8
"ERV15","YBR210W","ORF","645550-645978","+","II",NA,NA,NA,NA,"0016020; 0005783; 0007120; 0003674; 0016021; 0030134; 0006810; 0016020; 0016021; 0006888; 0016021",55.59156633,55.34655192,55.39007968,55.6966791,57.24771021,58.05612726,57.66449124,53.29751883,50.95663064,49.93869777,49.75250486,50.87887671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21,39,44,37,38",35.8
"SKI7","YOR076C","ORF","469377-471620","-","XV",NA,NA,NA,NA,"0055087; 0000177; 0000166; 0070478; 0070478; 0070478; 0002184; 0003924; 0003747; 0018444; 0034427; 0034427; 0006412; 0006417; 0005737; 0034427; 0030674; 0000177; 0005829; 0000184; 0070651; 0005737; 0005737; 0005525; 0070481; 0070481; 0005525; 0003924; 0005525",10.6757143,10.76926721,10.88997389,11.07521811,11.32439203,11.72470915,12.03258948,12.22740625,11.48702036,11.10868582,10.95162691,11.52012135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46,20,64,28,21",35.8
"ISN1","YOR155C","ORF","626628-627980","-","XV","superpathway of purine biosynthesis and salvage pathways",NA,NA,NA,"0005575; 0050483; 0006190; 0050483; 0006190; 0000287; 0016787; 0009117; 0071590; 0071590; 0071592; 0071592; 0009117",22.22024218,20.48423056,18.75916915,17.15453307,15.78788262,15.07258592,15.245373,17.42814522,16.96797406,16.23881423,14.98445381,12.97071412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39,42,30,45,23",35.8
"ycr102wa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32,44,31,22,50",35.8
"ydl023c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34,47,16,35,47",35.8
"ydl133w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,46,28,62,28",35.8
"yjl070c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23,26,36,48,46",35.8
"yjr115w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23,38,31,30,57",35.8
"yrf16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52,47,45,16,19",35.8
"RPL20A","YMR242C","ORF","753225-754220","-","XIII",NA,0,0,1,"0044822; 0006412; 0005840; 0003735; 0005840; 0005737; 0005737; 0006412; 0003735; 0030529; 0022625; 0003735; 0002181",1966.174418,1970.249209,1972.030918,1974.93037,1970.47483,1986.682069,1993.80838,1963.547302,1979.869621,1957.878663,1898.467172,1776.14125,1904.093244,1906.790847,1917.622681,1944.166144,2007.954611,2009.839748,2073.582304,2105.740355,2004.186433,2031.897661,2132.278124,2342.299539,"9,10,12,18,19,25,28,33,33,34,34,36,36,36,37,40,40,40,46,47,23,24,31,31,33,34,35,35,36,39,39,40,40,40,42,44,45,47,47,57,8,8,10,10,13,22,22,23,23,25,29,30,31,31,31,33,33,35,36,38,39,40,41,42,43,47,47,47,47,51,51,51,52,52,53,53,54,55,65,66",35.775
"RPH1","YER169W","ORF","523369-525759","+","V",NA,NA,NA,NA,"0003677; 0000122; 0046872; 0046872; 0043565; 0001078; 0005634; 0005634; 0043565; 0043565; 0001078; 0006351; 0000122; 0043565; 0016577; 0016577; 0000122; 0051864; 0005634; 0032968; 0010507; 0010507; 0051864; 0003676; 0051864; 0051864; 0032454; 0016577; 0016577; 0051864; 0051864; 0016577; 0016577; 0006355",29.26975682,29.09286158,29.08194567,29.44841033,30.11445073,31.8753802,34.20323372,38.45760384,37.89246403,35.63929836,31.00486038,23.67846878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20,12,7,12,21,12,20,13,37,19,20,14,46,25,27,15,47,29,30,17,36,32,17,39,32,21,41,33,22,42,33,23,42,34,26,45,36,26,46,39,26,46,44,27,48,44,27,49,46,29,50,48,31,52,49,31,53,49,33,53,50,34,56,51,34,35,36,36,36,38,38,39,40,41,41,43,45,45,45,46,47,48,51,54,63",35.7058823529412
"YIL089W","YIL089W","ORF","195599-196216","+","IX",NA,NA,NA,NA,"0016021; 0008150; 0016020; 0000328; 0000324; 0003674; 0016020; 0005777; 0005783; 0016021",10.87918832,11.00028395,11.16788759,11.26586569,11.83275934,11.14365593,9.784812185,6.790061589,6.392546307,7.10289379,9.139884552,12.85794561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14,5,16,19,16,21,27,24,28,28,31,31,34,32,36,32,36,35,39,36,39,36,39,36,39,36,40,38,41,40,41,40,42,43,42,48,43,49,44,51,44,44,44,51,55",35.6666666666667
"MSS1","YMR023C","ORF","319437-321017","-","XIII",NA,NA,NA,NA,"0005525; 0005739; 0005739; 0005622; 0008033; 0006400; 0003924; 0005743; 0005525; 0005525; 0070899; 0000166; 0005829; 0005739",7.503717677,7.725884884,8.014688405,8.367431417,8.900422656,9.212221896,9.794450554,11.35713976,12.54078974,12.8368025,12.32698768,10.48484558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27,75,25,47,62,27,75,25,47,62,28,47,38,39,6,31,22,11,9,28,16,42,32,34,50,28,34,42,21,39",35.6333333333333
"SDS3","YIL084C","ORF","202276-203259","-","IX",NA,0,0,1,"0016575; 0006342; 0006342; 0031939; 0005829; 0005634; 0016569; 0006351; 0033698; 0070210; 0033698; 2000217; 0043709; 0045944; 0033698; 0031939; 0061188; 0061186; 0016575; 0006355; 0005634; 0005634; 0004407; 0061408; 0000122; 0033698; 0045944; 0016575",11.83080905,11.43176117,10.9146224,10.27913835,9.446437505,8.738482853,7.583833092,4.99997319,2.973632728,1.919860307,1.782221689,3.230678934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24,6,11,15,24,12,27,37,24,15,28,38,26,17,30,41,26,20,30,43,27,20,30,30,22,30,30,25,33,32,29,34,33,30,36,33,30,36,34,32,37,35,33,40,37,34,41,37,34,43,38,35,43,38,35,45,42,36,46,48,37,47,48,38,47,39,40,40,41,42,42,42,44,44,45,45,46,47,50,52,53,53,55,56,58",35.6235294117647
"YDR271C","YDR271C","ORF","1008395-1008766","-","IV",NA,NA,NA,NA,NA,18.05790083,18.18335724,18.4673959,18.85697589,19.88057863,19.86610173,20.25577193,22.65569544,23.69825704,23.66387448,22.59628825,19.90989423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53,44,28,26,27",35.6
"TPO4","YOR273C","ORF","834452-836431","-","XV",NA,NA,NA,NA,"0000329; 0006810; 0015606; 0005886; 0016021; 0016021; 0071944; 0016021; 0005215; 0055085; 0016020; 0015848; 0000296; 0015297; 0005886; 0005886; 0000297",77.79676829,78.57938779,80.08707353,84.93111408,86.65881357,110.3403499,142.8925118,194.6395541,201.293414,203.1258669,196.3002508,186.6675223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36,21,38,46,37",35.6
"YOR318C","YOR318C","ORF","911784-912436","-","XV",NA,NA,NA,NA,NA,5.344648041,5.169397902,5.008053746,4.959521814,4.902391578,5.459387178,6.245087473,7.186180353,8.403527009,9.245606382,9.766460548,9.646438993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22,28,41,29,58",35.6
"atg20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58,11,17,50,53,53,53,14,26,26,25,57,32,44,30,54,48,25,28,28,20,31,18,49,38",35.52
"RPL6A","YML073C","ORF","123227-124172","-","XIII",NA,0,0,1,"0006412; 0044822; 0005840; 0005840; 0030529; 0005622; 0003723; 0005737; 0005737; 0002181; 0003735; 0022625; 0003735; 0000027",1697.527443,1692.114794,1683.899587,1677.076419,1660.19546,1676.08299,1688.568208,1668.645706,1675.52131,1687.238613,1705.882666,1736.627026,86.68875596,86.59414757,86.29097881,85.67176738,84.34366276,82.27728775,83.46947554,86.76782079,93.47547854,97.70785277,98.80166842,93.97177639,"16,19,20,25,29,31,32,34,34,36,36,40,43,43,46,49,51,51,54,56,8,29,32,32,33,35,37,38,39,40,40,41,44,44,45,46,47,51,54,70,3,10,13,15,17,20,20,21,23,24,24,26,27,28,28,28,29,30,31,31,31,33,33,33,34,34,35,39,39,40,43,44,45,46,46,49,50,52,56,60",35.5
"HBS1","YKR084C","ORF","597055-598890","-","XI",NA,NA,NA,NA,"1990533; 0070651; 0043022; 0005525; 0003746; 0006414; 0045727; 0032790; 0003924; 0005622; 0070966; 0006417; 0005829; 0000166; 0006412; 0005525; 0005737; 0005737; 0005737; 0003924",36.18033096,36.76921523,37.3053881,37.60363823,38.03757844,36.72264078,35.1068629,33.77333454,33.89176853,34.520385,36.19448324,39.25010841,45.16519528,45.33913594,45.46925407,45.68877315,46.25111412,44.02238694,42.27868295,39.31927194,33.81756392,31.59242817,29.44164902,26.84511563,"5,17,4,8,13,19,10,25,14,23,15,25,15,26,19,26,20,26,21,40,24,29,22,24,33,25,26,35,25,26,37,29,31,38,30,34,41,31,35,42,42,41,48,45,43,49,47,44,54,48,50,59,52,50,61,54,53,61,56,54,62,57,62,64,61",35.4615384615385
"SPG3","YDR504C","ORF","1456311-1456694","-","IV",NA,NA,NA,NA,"0008150; 0005783; 0003674; 0016020; 0016021; 0016020",15.36415878,15.02623617,14.86523891,14.74525087,15.49183822,14.8347743,14.54461659,15.52542156,16.47751198,17.26631318,18.14228413,18.78227962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56,25,12,49,35",35.4
"YER085C","YER085C","ORF","327619-328140","-","V",NA,NA,NA,NA,"0008150; 0003674; 0005575",1.320769155,1.47367713,1.728463541,2.064670944,2.73230936,3.157533667,3.326184253,2.577491836,2.784924372,3.017188099,3.204702409,3.164417519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27,32,25,48,45",35.4
"YLR112W","YLR112W","ORF","370791-371210","+","XII",NA,NA,NA,NA,NA,15.43510159,14.93738205,14.27292224,13.50473182,12.35969474,11.54456556,11.1399785,11.82445473,12.81487681,12.69085301,11.76100334,9.275510974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47,34,25,36,35",35.4
"YOR365C","YOR365C","ORF","1023461-1025572","-","XV",NA,NA,NA,NA,"0016021; 0016020; 0016021; 0016020; 0003674; 0008150",4.585653899,4.475898087,4.416357184,4.47595507,4.653056611,5.243892896,5.891734804,6.405021098,6.534178422,6.974793616,7.644336042,8.826226648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59,27,45,24,22",35.4
"irc18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13,36,42,41,45",35.4
"lpx1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56,53,22,26,20",35.4
"ybl107c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26,36,42,23,50",35.4
"SGF11","YPL047W","ORF","465962-466261","+","XVI",NA,NA,NA,NA,"0000124; 0071819; 0016578; 0006357; 0071819; 0046872; 0003713; 0016578; 0008047; 0005634; 0006355; 0005634; 0000124; 0006351; 0045893; 0008270; 0005634; 0005634; 0016569; 0016578",68.03985931,68.57870515,68.84357296,68.71200597,67.87522071,66.48913848,64.75259686,60.9793323,65.98705985,69.53777059,72.9635417,74.0185517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7,8,9,9,10,11,11,13,14,14,14,15,18,19,20,22,23,23,24,24,24,24,25,26,26,28,28,28,28,30,31,31,32,33,34,35,35,36,37,37,38,38,39,41,41,42,42,42,42,43,43,43,43,44,44,44,44,45,45,46,46,47,47,48,49,49,49,49,50,50,50,50,50,51,51,53,53,55,55,55,55,55,56,61,62,13,1",35.3448275862069
