"Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","Pathways","pro","anti","fitness","GoTerm","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3","p7.8","p10.7","p14","p17.8","p22","p26.8","p32.2","p38.4","p45.4","p53.3","p62.2","p72.3"
"HSL7","YBR133C","ORF","501804-504287","-","II",NA,NA,NA,NA,"0035241; 0007067; 0008168; 0044257; 0000086; 0000086; 0005935; 0051726; 0005829; 0005634; 0006355; 0019918; 0035246; 0008168; 0005935; 0005824; 0000144; 0007049; 0034969; 0008469; 0032259; 0016740; 0032174; 0005935; 0051301; 0035241; 0000144; 0000144; 0006479; 0005935; 0005737; 0035243",18.81969747,18.55315392,18.31162175,18.1391567,18.14958869,18.09401477,18.56840007,20.6907145,22.04487516,21.99141864,20.66565631,17.2240061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMD1","YBR109C","ORF","457919-458362","-","II",NA,NA,NA,NA,"0042144; 0005737; 0007114; 0005935; 0005934; 0005823; 0000131; 0007010; 0043332; 1903525; 0005935; 0048306; 0048306; 0042144; 0006661; 0006661; 0000742; 0000742; 0005509; 0016237; 0051300; 0006898; 0005515; 0005515; 0005823; 0005515; 0005515; 0006898; 0005515; 0005816; 0006897; 0005509; 0046872; 0005856; 0005933; 0006607; 0042991; 0005509",349.6263813,348.7107549,349.4297806,350.6990722,358.538307,357.3520067,352.1137675,335.8879045,325.3057736,323.2556997,327.841833,341.9733696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRM9","YAR031W","ORF","186836-187732","+","I",NA,NA,NA,NA,"0005783; 0003674; 0016192; 0016021; 0006810; 0005886; 0016020; 0005886; 0008150; 0005783; 0005886",4.766094717,4.6005253,4.445894905,4.33446224,4.25098349,4.323769534,4.596827279,5.4200396,5.601628451,6.29619646,7.529020334,9.717459414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SSA1","YAL005C","ORF","139503-141431","-","I",NA,NA,NA,NA,"0051082; 0000060; 0005832; 0006457; 0016887; 0005737; 0005737; 0005886; 0005634; 0005737; 0005737; 0005829; 0005576; 0072318; 0016887; 0042026; 0005524; 0000166; 0005618; 0005618; 0043161; 0000049; 0005844; 0035617; 0000209; 0009277; 0042026; 0002181; 0006626; 0005634; 0000329; 0006616; 0043161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1889.313636,1759.985948,1612.418998,1412.728162,1119.185947,1099.936814,1171.746367,1313.397243,1383.591034,1246.244524,1079.726054,924.9128532
"CSH1","YBR161W","ORF","561634-562764","+","II",NA,NA,NA,NA,"0016757; 0000324; 0000030; 0000030; 0030148; 0006688; 0016020; 0016740; 0005773; 0016021; 0000324; 0016021; 0005774; 0006688",27.44474151,28.1197917,29.00607597,29.88378858,31.58075185,31.18507727,30.7983816,31.56076098,32.54023916,33.38165969,34.28956166,35.00207406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAR32","YDL173W","ORF","148191-149078","+","IV",NA,NA,NA,NA,"0005737; 0005737; 0008150; 0003674; 0005737",110.3300427,114.383296,119.531419,124.4424817,133.2879317,132.0546481,127.1642311,114.720903,113.3379173,119.1149585,132.4195697,155.5353491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBR277C","YBR277C","ORF","760215-760616","-","II",NA,NA,NA,NA,NA,24.56691619,25.22811759,26.3565798,27.71862667,30.76222103,31.4950406,31.47631811,30.35239818,28.00448914,26.86264598,26.44386123,27.71816064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MRPS5","YBR251W","ORF","721390-722313","+","II",NA,NA,NA,NA,"0005739; 0003735; 0005840; 0006412; 0005739; 0005739; 0032543; 0005739; 0003735; 0005763; 0030529; 0003723; 0005840",28.39145367,28.68632576,29.24777485,29.93798432,32.04605189,32.28533447,30.85528131,24.9808219,21.41660685,20.28056517,21.34757178,26.21582857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPL35A","YDL191W","ORF","117664-118517","+","IV",NA,NA,NA,NA,"0003735; 0006412; 0000463; 0030687; 0002181; 0022625; 0030529; 0005737; 0005737; 0003735; 0005622; 0005840; 0006412; 0003735; 0003729; 0005840",1720.652592,1729.051947,1736.549326,1743.585465,1747.90776,1753.610958,1751.440968,1722.8029,1735.689594,1776.076212,1850.826643,1977.289474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAR030C","YAR030C","ORF","186512-186853","-","I",NA,NA,NA,NA,NA,12.80441571,12.73084243,12.55269635,12.40804112,11.63201509,12.10563211,13.34716636,16.63771504,17.81099887,19.06940161,20.49205315,22.50389548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NFS1","YCL017C","ORF","92777-94270","-","III",NA,NA,NA,NA,"0005739; 0005739; 0031071; 0034227; 0070903; 0016226; 0031071; 0002098; 0046872; 0034227; 0005739; 0016740; 0005739; 0044571; 0030170; 0031071; 0003824; 0005634; 0005739; 0005634; 0016226; 0031071; 0005739; 0005739; 0006879; 1990221; 0008033; 0051536",59.99799473,60.61492691,61.49736733,62.70599668,64.8350603,66.46671309,67.49365425,67.14852371,67.37814493,66.20169361,63.29245864,57.81726893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RRP43","YCR035C","ORF","191834-193018","-","III",NA,NA,NA,NA,"0000176; 0000177; 0070478; 0070651; 0003674; 0000467; 0000176; 0000177; 0006364; 0043628; 0071035; 0071042; 0071038; 0071038; 0071051; 0005634; 0034427; 0006401; 0000467; 0000178; 0006396; 0070481; 0005730; 0005737; 0005654; 0000467; 0017091; 0034476; 0044822; 0071028; 0034473; 0000178; 0005737; 0005737; 0005730; 0003723; 0034475; 0043928",58.52605357,58.55448526,58.19709945,57.56557775,55.89016803,55.22882476,53.60573547,48.31305343,48.11272245,49.29727535,52.47804059,58.34252582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EMC1","YCL045C","ORF","44623-46905","-","III",NA,NA,NA,NA,"0005789; 0005783; 0005783; 0034975; 0072546; 0016021; 0003674; 0016020; 0005783; 0072546",63.96246292,62.77525721,61.31463414,59.80550629,57.43039184,56.84478821,57.2461005,59.87633918,60.42367237,59.96432865,58.64690271,56.1517957,61.44955914,61.63969567,62.35638119,63.86391837,67.07351454,70.61282574,71.77477411,71.60294395,68.62174027,66.50965681,65.26723331,66.05081087
"SGF29","YCL010C","ORF","103571-104350","-","III",NA,0,0,1,"0006355; 0005634; 0005634; 0043971; 0043970; 0045944; 0034629; 0001135; 0035064; 0044154; 0070868; 0034613; 0000124; 0016569; 0006351; 0005671; 0005671",38.19067039,38.14340876,38.03561535,37.80106493,37.42648407,36.5571438,35.84117429,36.12112447,36.21568053,36.20423734,36.21319105,36.12615152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGT1","YDL200C","ORF","100501-101067","-","IV",NA,NA,NA,NA,"0003908; 0005634; 0005634; 0005634; 0003684; 0003908; 0008168; 0016740; 0006281; 0032259; 0003824; 0003908; 0006974; 0003677; 0006281; 0006307; 0005634; 0003908",23.40379485,24.96008471,26.81417761,28.26877052,31.74518097,28.60854439,24.23017548,19.50108732,19.04156757,20.41373985,24.68700211,32.65526784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RDH54","YBR073W","ORF","383112-385988","+","II",NA,NA,NA,NA,"0003677; 0007131; 0006281; 0008094; 0006310; 0032392; 0032392; 0032508; 0032508; 0003690; 0003690; 0005634; 0006974; 0000166; 0006281; 0005634; 0005634; 0051321; 0004386; 0016787; 0005524; 0003916; 0016853; 0005524; 0015616; 0032392; 0045144; 0030491; 0007131; 0008094; 0007131; 0007131; 0006310",19.7171122,20.04461612,20.49034897,21.05363668,21.97665585,22.65479752,23.1439759,23.20713683,23.33511232,23.38056282,23.25722556,22.98079355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DCC1","YCL016C","ORF","94621-95763","-","III",NA,NA,NA,NA,"0031390; 0006974; 0007064; 0003674; 0035753; 0007064; 0005654; 0006275; 0000775; 0000785; 0034088; 0003689; 0006260",16.67911422,17.26849076,17.94209481,18.61795532,19.54259404,19.77784561,19.52311205,18.27000274,17.79950984,18.00976056,18.84535283,20.69585384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PET18","YCR020C","ORF","154012-154659","-","III",NA,NA,NA,NA,"0005829; 0003674; 0006772",14.71539696,15.38128788,16.42512224,17.83411417,20.35119685,22.29317176,23.93139279,23.21960743,29.35082702,32.98699152,34.40409879,30.37148362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERP1","YAR002C-A","ORF","154065-154724","-","I",NA,NA,NA,NA,"0006810; 0006621; 0016021; 0006810; 0005789; 0015031; 0016020; 0016192; 0006888; 0005739; 0005739; 0005783; 0030134; 0006888; 0003674; 0016021",201.797771,201.8382275,202.0387276,202.6898319,203.7533042,206.301062,207.2909941,203.5146515,198.6771789,197.8798047,200.0636906,208.4334629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLX1","YBR228W","ORF","675313-676227","+","II",NA,NA,NA,NA,"0090305; 0005634; 0016787; 0006974; 0046872; 0006310; 0033557; 0004518; 0005634; 0006261; 0017108; 0004519; 0006281; 0017108; 0033557; 0006281; 0008821; 0000724; 0010792; 0006310; 0005634; 0033557; 0006281; 0005634; 0017108",27.6829346,27.64640279,27.5700881,27.45657761,27.19016164,27.13162991,26.9299998,26.23063873,25.39075792,25.10695913,25.31002272,26.44304519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBR220C","YBR220C","ORF","662995-664677","-","II",NA,NA,NA,NA,"0003674; 0016021; 0008150; 0015295; 0015876; 0008521; 0016021; 0008521; 0016021; 0016020; 0016020; 0006810",36.8947551,37.05517416,37.30950906,37.58276724,38.21991662,38.04843097,37.93551435,38.62252209,38.66024159,37.86352287,36.14972422,32.98416037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THR4","YCR053W","ORF","216697-218241","+","III","threonine biosynthesis",0,0,1,"0005634; 0005737; 0004795; 0009088; 0016829; 0030170; 0006520; 0009088; 0004795; 0005737; 0009088; 0030170; 0008652",380.0775916,377.2486086,372.9890215,368.1873509,358.736789,357.1974766,355.6864275,350.4529954,349.7932007,348.2121931,346.3903061,343.9750506,1500.143249,1513.938941,1517.666354,1509.923998,1467.385184,1413.961223,1381.172192,1346.768324,1314.862302,1227.008741,1153.354434,1124.357821
"CSM1","YCR086W","ORF","263392-263964","+","III",NA,NA,NA,NA,"0034503; 0033551; 0005730; 0005634; 0070550; 0000775; 0000775; 0005694; 0005635; 0051321; 0003674; 0045132; 0005730; 0045143; 0045143",22.96551069,23.59138123,24.55354966,25.77257313,28.06793269,29.43903375,30.31211518,29.55255174,30.25940417,31.28583285,32.53740451,34.0021724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECM31","YBR176W","ORF","583720-584658","+","II","pantothenate and coenzyme A biosynthesis",NA,NA,NA,"0003864; 0005739; 0016740; 0003864; 0015940; 0005739; 0003864; 0015940; 0005739; 0005739; 0005739; 0003864; 0015940; 0015940; 0003824",22.38984648,21.89244385,21.36872489,20.94887208,20.34839495,20.86712231,21.89895957,23.62963799,24.3958495,24.62411557,24.33273273,23.34168647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FES1","YBR101C","ORF","443821-444693","-","II",NA,NA,NA,NA,"0006457; 0002181; 0005829; 0022626; 0000774; 0005737; 0071629; 0071629; 0006417; 0005737; 0000774",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.7911444,110.9511118,104.6832857,95.43579199,81.75345975,72.59446184,63.67306808,64.2678804,91.32005748,115.9933431,133.4318442,132.5499798
"YBL068W-A","YBL068W-A","ORF","91794-92030","+","II",NA,NA,NA,NA,NA,75.89784119,76.08057977,75.85521083,75.72998753,73.2737013,75.58557923,80.52119815,92.03793527,96.41985755,98.57099669,98.95794061,97.95524144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SCS22","YBL091C-A","ORF","46565-47180","-","II",NA,NA,NA,NA,"0006348; 0008654; 0005829; 0005789; 0016021; 0016020; 0006348; 0090158; 0060304; 0003674; 0016020; 0006348",29.11689558,29.21133296,29.74760343,30.21800415,32.54789211,31.0288045,29.10344675,27.24146653,24.82056503,23.56458689,23.27180869,24.3006863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FUN26","YAL022C","ORF","108877-110430","-","I",NA,NA,NA,NA,"0000329; 0016021; 0005622; 0016020; 0005337; 0015858; 0015851; 0005337; 0034258; 0034257; 0000329; 0005337; 0006810; 0016021; 0055085; 0016021; 0015858; 0015205; 0016020; 0016020; 0006810; 0000329",28.65185771,28.62803319,28.66683414,28.76513436,29.11089599,29.21391812,29.37093355,29.76920808,30.30418473,29.96485147,28.71012449,25.86497839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRB8","YCR081W","ORF","254371-258654","+","III",NA,NA,NA,NA,"0005634; 0005634; 0006351; 0006355; 0001105; 0001105; 0001104; 0016592; 0000122; 0016592; 0000411; 0006357; 0016592; 0045944",3.597766848,3.432647312,3.249609147,3.106755859,2.866322068,3.048577505,3.278569552,3.56625884,3.192604316,3.008986478,2.898830911,3.099336624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CDC19","YAL038W","ORF","71786-73288","+","I","glycolysis",NA,NA,NA,"0006096; 0005524; 0004743; 0004743; 0046872; 0005886; 0000287; 0003824; 0004743; 0006096; 0030955; 0008152; 0003824; 0016301; 0000166; 0016740; 0004743; 0006096; 0006096; 0016310; 0005737; 0006090",5624.834206,5589.199515,5544.774845,5494.625105,5408.633069,5369.948024,5376.560236,5510.596816,5510.249668,5493.612603,5460.311263,5411.396519,36603.23277,37307.85397,38416.4639,40243.43955,43501.69784,45569.64556,46840.0434,47308.15087,46573.69759,47408.63751,48169.54094,48655.62587
"SSB1","YDL229W","ORF","44065-45906","+","IV",NA,NA,NA,NA,"0005737; 0000054; 0005516; 0005886; 0051083; 0005844; 0005737; 0042149; 0002181; 0002181; 0006364; 0051082; 0006452; 0005737; 0006412; 0006450; 0000166; 0005844; 0006415; 0005524; 0016887",1159.960175,1162.742898,1163.782207,1165.758701,1158.936423,1170.519364,1192.584427,1242.38487,1284.202893,1249.679858,1139.079074,904.9804376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIM4","YBR194W","ORF","610038-610409","+","II",NA,NA,NA,NA,"0005737; 0005737; 0008150; 0005737; 0003674",19.1741623,20.49174044,22.3953163,24.46101072,28.72598544,28.94454862,28.12533301,25.7149824,26.2585782,25.94565692,24.64196892,20.97523537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YDL211C","YDL211C","ORF","79294-80412","-","IV",NA,NA,NA,NA,"0000324; 0005773; 0016021; 0016020; 0003674; 0008150; 0005774",9.751905521,10.18334531,10.58749785,10.89198239,11.24845462,10.84157886,10.29374546,9.640576964,10.86368857,11.85289656,13.04136004,14.14436758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDE1","YBL047C","ORF","127895-132040","-","II",NA,NA,NA,NA,"0030479; 0005934; 0005935; 0005509; 0043130; 0032467; 0005935; 0030968; 0005737; 0005737; 0005737; 0032880; 0044396; 0043332; 0030479; 0006897; 0006897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525.6303114,508.2284611,479.0433044,430.1898148,346.9059251,271.6071458,203.0200795,155.3114946,179.8264367,196.9126466,204.0377993,180.3521099
"YBL029W","YBL029W","ORF","166134-167264","+","II",NA,NA,NA,NA,"0005737; 0003674; 0005634; 0008150",40.73197435,41.5793995,43.06274144,44.90071355,48.86026463,50.10896778,50.40377309,48.73825261,47.66875791,48.20430454,49.7915318,53.05423431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
