"Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","Pathways","pro","anti","fitness","GoTerm","RLS","RLSMean","DivergenceSlopes","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3","p7.8","p10.7","p14","p17.8","p22","p26.8","p32.2","p38.4","p45.4","p53.3","p62.2","p72.3"
"RAI1","YGL246C","ORF","37617-38780","-","VII",NA,NA,NA,NA,"0006397; 0000448; 0000956; 0005634; 0005829; 0071035; 0016787; 0004518; 0006351; 0003723; 0046872; 0005634; 0005634; 0006364; 0006355; 0000166; 0031087; 0005634; 1990174; 0005634; 1990174; 0000463; 0000466; 0030846; 0034353; 0030234; 0006353","3,12,16,15,20,21,21,21,25,25,27,34,26,30,36,31,33,31,34,34,36,35,36,35,37,39,41,40,42,41,44,41,45,41,45,47,46,47,47,49,50,49,54,52,55",35.3111111111111,0.00866387161897829,57.98726291,58.10517966,57.72519854,57.00700475,54.7401061,53.60179148,53.86360777,58.00457781,64.01900369,63.20910002,56.76751889,40.31840222,16.51768999,16.99322953,17.43038234,17.91450353,18.34720192,18.13771457,16.83909421,15.20159208,14.18985453,13.60247254,13.57393504,14.47425653
"AVL9","YLR114C","ORF","374944-377238","-","XII",NA,NA,NA,NA,"0005935; 0005737; 0005934; 0006892; 0005737; 0005737; 0005737; 0003674","28,29,43,38,38",35.2,0.000363324996988289,32.54940354,32.72392528,32.84974479,32.95432355,32.9412617,32.92165891,32.97349417,33.7080293,33.52498808,32.21495064,29.78492516,25.84985764,4.984548465,5.022093604,5.069676497,5.153802054,5.350234216,5.207762002,5.086375038,4.970333387,5.0724756,4.762793239,4.184381026,3.183827666
"RPL16B","YNL069C","ORF","493956-495001","-","XIV",NA,NA,NA,NA,"0006412; 0003729; 0003735; 0003735; 0002181; 0022625; 0003723; 0030529; 0005840; 0006412; 0015934; 0005840; 0005737; 0005737; 0003735","3,46,16,44,30,30,16,27,30,31,40,57,29,31,18,53,44,62,33,40,52,4,16,20,32,33,39,44,29,54,29,31,34,22,65,37,34,39,37,43,46,30,45,42,46,45,49,31,40,44,36,36,34,48,24,24,20,25,42,36,26,33",35.0967741935484,-0.00603140465318676,2462.232402,2466.294522,2466.87619,2469.568242,2457.811997,2487.49137,2508.678122,2480.544157,2509.257109,2489.803446,2422.641149,2275.746981,1304.596406,1324.787191,1350.380538,1387.689217,1446.099814,1467.693318,1487.186389,1492.58088,1482.971435,1472.944877,1448.092126,1401.371405
"ATP3","YBR039W","ORF","315575-316510","+","II",NA,0,1,0,"0006754; 0015986; 0005739; 0005739; 0015992; 0005743; 0005743; 0005756; 0006811; 0046961; 0016020; 0006810; 0005739; 0045261; 0016021; 0016887; 0015986; 0045261; 0046933; 0046961; 0005739; 0046933; 0005756; 0015986","45,24,44,23,39",35,-0.00761621259393726,214.7548535,221.2952202,230.6063837,240.2798151,260.4207658,259.9807243,252.306967,232.3720147,219.0060871,216.1830013,222.3646842,242.957826,390.7776244,377.2276645,356.1989324,323.2480912,267.5592895,214.2007808,186.5393907,171.1922931,169.9967342,149.6811312,133.6304595,124.3724953
"RPL31A","YDL075W","ORF","322226-322988","+","IV",NA,0,0.8,0.2,"0005737; 0005840; 0006450; 0005737; 0003735; 0006412; 0044822; 0005840; 0030529; 0002181; 0003735; 0022625; 0005622","44,40,61,25,34,44,50,12,26,34,43,9,56,27,15,7,12,20,42,45,48,39,41,12,20,19,12,60,61,50,17,53,34,33,5,39,34,18,32,23,18,23,65,33,59,48,9,61,52,43,53,46,22,23,17,43,42,30,14,45,16,9,56,24,62,44,21,64,36,27,32,19,29,16,59,43,30,52,26,55,22,23,37,38,36,32,32,42,38,22,41,26,44,27,36,21,33,28,26,44,47,33,37,50,27,53,33,16,7,15,22,34,30,54,22,46,13,18,51,45,41,20,26,59,36,63,12,10,24,33,10,17,42,64,42,41,49,34,30,11,37,42,52,45,29,24,45,29,52,20,26,42,30,19,32,52,30,38,30,20,10,24,23,25,47,46,50,11,44,40,61,52,23,28,19,39,40,22,55,36,25,46,38,58,20,18,52,7,45,20,17,25,60,53,50,27,42,34,55,57,48,49,19,52,27,24,18,39,58,20,30,30,37,34,33,16,54,54,44,42,23,31,32,19,39,32,49,41,49,37,35,23,16,36,15,32,32,6,39,13,62,42,40,21,41,17,19,43,45,50,21,46,21,36,43,20,42,21,39,51,33,32,8,48,19,48,56,55,26,44,49,29,44,9,43,50,59,37,18,47,13,29,42,41,41,24,18,15,51,16,45,38,47,46,31,53,30,41,46,37,39,39,41,48,44,40,21,19,9,30,18,21,41,20,33,47,34,16,48,48,35,30,23,25,33,36,23,27,24,35,12,47,31,24,49,15,25,23,17,47,22,33,30,14,27,15,25,14,23,21,27,14,36,22,16,23,55,42,40,18,23,38,47,46,26,38,35,34,36,27,17,55,24,38,16,52,27,27,41,12,30,54,65,31,32,52,37,35,35,18,25,17,19,36,30,28,19,38,15,13,46,32,53,39,50,31,57,23,20,9,31,36,48,43,55,54,47,17,65,60,65,37,29,24,77,42,51,62,67,13,36,16,43,12,17,59,16,12,5,58,23,30,25,45,40,43,41,55,51,33,34,34,44,17,51,42,42,46,57,30,21,33,34,32,39,26,40,51,58,58,21,31,50,61,37,64,36,36,40,19,50,18,36,44,27,17,11,42,39,18,55,34,24,37,27,23,38,51,27,50,46,20,40,51,22,31,45,31,43,31,23,34,40,14,35,26,34,36,48,36,33,32,34,14,25,36,32,41,39,37,17,41,34,48,43,30,32,28,27,36,41,26,47,46,54,47,43,50,26,49,48,32,45,24,35,33,32,34,14,25,14,16,22,26,23,47,43,50,26,49,32,50,47,44,15,30,47,48,17,52,29,48,45,24,38,58,56,44,50,27,21,30,40,22,48,12,24,33,37,36,49,24,10,20,28,27,36,43,34,24,42,11,50,48,48,18,42,44,48,44,42,14,11,54,14,40,13,18,47,27,38,46,44,53,31,31,17,26,24,45,42,22,6,10,26,33,15,38,41,10,47,44,24,35,34,45,45,52,17,34,33,39,39,45,44,22,53,14,21,36,52,33,50,53,28,44,48,23,13,13,43,29,41,34,39,40,32,38,14,55,43,42,40,54,50,29,26,29,45,50,29,18,16,55,56,13,27,44,17,21,18,35,55,44,37,31,33,51,61,44,37,46,43,36,12,61,31,38,42,28,51,51,32,52,28,43,14,26,24,59,42,44,50,49,26,23,59,26,15,42,48,34,43,29,41,30,29,30,25,38,19,42,36,30,43,47,40,35,23,29,45,37,47,42,52,33,25,47,32,13,55,42,28,63,45,29,36,30,24,21,27,29,43,36,31,40,38,42,43,37,46,28,32,23,25,35,30,40,32,39,38,23,36,36,26,36,52,42,31,54,50,34,26,30,20,20,35,16,54,52,48,44,52,46,29,48,46,44,45,35,30,42,39,41,8,34,41,30,18,51,51,53,46,29,38,28,27,39,52,22,35,32,38,30,27,53,41,53,52,69,38,33,16,44,34,32,47,48,47,38,16,29,59,34,36,46,65,55,27,20,33,27,21,30,15,54,24,20,28,42,46,19,51,31,40,25,17,41,47,40,30,20,24,37,21,26,17,15,20,37,32,58,33,43,15,43,18,30",34.8523706896552,-0.0056776400948856,3991.049728,4000.484084,4000.209173,3995.477989,3957.82207,3963.435381,3952.342309,3873.085424,3891.091991,3924.094397,3984.587477,4082.794029,140.6918464,141.5064413,144.2783585,149.4201733,158.3911152,176.6824207,199.4655756,217.6811072,208.7711822,202.7746369,208.5710126,239.6352579
"QDR2","YIL121W","ORF","132244-133872","+","IX",NA,NA,NA,NA,"0006855; 0010107; 0015238; 0005887; 0006855; 0016021; 0010107; 0015238; 0006813; 0005886; 0005886; 0016021; 0005215; 0055085; 0016020; 0006810; 0006811; 0016021; 0071944; 0008324; 0060003","38,50,41,44,47,39,16,46,38,20,41,28,46,42,42,32,45,27,45,39,45,40,37,30,18,46,42,40,40,53,41,50,39,44,25,53,36,33,11,41,26,29,44,40,32,47,27,35,28,15,21,25,24,34,18,27,36,3,19,15,35,9,64,44,22",34.6,-0.00477058831099783,147.4621595,147.4424224,147.6558655,148.0260514,149.2150694,149.5750661,150.0421857,151.3572566,150.4036456,148.9811881,146.8292744,144.035363,3.990999348,4.042532697,4.175109365,4.419073006,4.862943451,5.536187086,6.19063166,6.808223054,7.111663911,6.8393954,6.02677878,4.513778145
"STE24","YJR117W","ORF","642007-643368","+","X",NA,NA,NA,NA,"0030176; 0071586; 0071432; 0071432; 0071432; 0071432; 0016787; 0005637; 0016020; 0071586; 0046872; 0016021; 0016485; 0005789; 0019236; 0008237; 0004222; 0006508; 0005783; 0004222; 0005741; 0071432; 0071432; 0071586; 0008233; 0006508; 0016021; 0005783; 0008233; 0004222","39,18,20,49,47",34.6,-0.00360683997784269,51.86058319,50.8509867,50.09055496,49.63969504,50.47613536,50.58490881,50.30846407,49.21076078,46.69625285,46.02865331,46.78163169,50.29080537,43.08231966,43.79617343,44.72980229,46.10496159,48.26578019,49.566725,50.15590506,50.33079706,50.64531073,51.65796488,53.24365258,55.71011536
"RPL23A","YBL087C","ORF","59822-60739","-","II",NA,0,1,0,"0005840; 0003735; 0005737; 0005737; 0002181; 0030529; 0006412; 0022625; 0003735; 0044822; 0070180; 0003735; 0005840","18,33,39,26,36,31,19,22,58,30,52,29,47,24,18,56,22,25,34,35,21,31,44,18,50,32,41,27,43,41,39,51,41,49,4,26,31,53,56,53,42,30,27,29,42,21,35,58,35,28,26,36,42,37,46,34,42,31,36,55,18,27,57,39,31,21,40,20,46,27,9,31,56,48,28,36,37,35,45,31,41,32,47,38,26,18,27,57,39,31,25,30,17,42,48,27,36,24,22,46,28,14,42,27,10,26,51,24,23,41,39,38,28,31,26,25,33,20,32,31,34,22,28,40,28,45,36,37,40,32",34.0230769230769,0.00278627102424715,1537.853028,1548.682245,1557.983197,1568.373707,1570.652869,1587.428902,1615.490085,1676.953262,1738.632516,1720.133926,1626.695855,1411.200182,1104.892379,1103.023179,1089.299449,1056.501251,981.5958441,915.9339382,886.1968369,848.6225141,764.092215,731.2507906,748.1980825,847.4810048
"TRP5","YGL026C","ORF","446412-448535","-","VII","tryptophan biosynthesis",NA,NA,NA,"0004834; 0000162; 0005737; 0005634; 0004834; 0016829; 0004834; 0030170; 0008152; 0006568; 0004834; 0003824; 0004834; 0000162; 0000162; 0000162; 0009073; 0005737; 0008652","40,40,30,33,27,40,40,30,33,27",34,-0.00506157858687179,304.66178,302.8073715,300.3116747,297.6757626,292.4555198,292.0599761,292.9413611,295.7148276,296.3985015,297.1910039,298.0926147,299.3952202,2047.453757,2070.354623,2111.71246,2183.378666,2313.827005,2431.025435,2491.773202,2525.836826,2526.268831,2585.235772,2644.574713,2700.083255
"MLP1","YKR095W","ORF","619805-625432","+","XI",NA,NA,NA,NA,"1901925; 0030529; 0034398; 0016973; 0003729; 0006606; 0043021; 0006606; 0043021; 0005635; 0005654; 0016021; 0044615; 0005487; 0007094; 0090204; 0090203; 0006810; 0005816; 0006974; 0051028; 0071048; 0071048; 0005634; 0006281; 0005634","34,39,30,36,31",34,0.00428034899637149,16.32899073,16.01148501,15.69301681,15.48286842,15.10619094,15.63261564,16.39983037,17.67473824,17.01814772,16.83341661,16.81941122,17.5257837,23.1552676,22.34722108,21.45280922,20.24568047,18.39874189,18.98193736,19.31561348,19.3497963,17.37746705,16.25790139,15.95776995,17.34007679
"ADE16","YLR028C","ORF","199540-201315","-","XII","de novo biosynthesis of purine nucleotides; de novo biosynthesis of purine nucleotides",NA,NA,NA,"0016787; 0003824; 0016740; 0006164; 0008152; 0003937; 0004643; 0006189; 0006164; 0003824; 0030437; 0006164; 0006164; 0009060; 0005829; 0003937; 0006189; 0006189; 0004643; 0003937; 0004643","31,31,20,32,56",34,-0.00172990422839242,122.2925497,117.2721505,113.0775086,109.5530956,109.1334558,107.3053961,107.7159965,113.175707,111.443654,116.815792,128.1277618,148.5339271,302.1763144,306.796997,313.5187378,323.5324446,338.9116334,353.8839625,361.2511026,361.2093901,341.0808946,335.851129,338.4381576,355.1876155
"TUF1","YOR187W","ORF","684030-685343","+","XV",NA,NA,NA,NA,"0006414; 0005739; 0005739; 0005739; 0032543; 0003746; 0032543; 0006412; 0005525; 0003746; 0003924; 0000166; 0003746; 0003924; 0005739; 0005622; 0006414; 0032543; 0005525; 0005739; 0005739; 0070125; 0005739; 0006414","51,20,26,20,53",34,0.0048201798593546,121.2431695,123.0268354,126.0557626,129.0263882,137.7113911,132.9991438,127.2578764,128.7763603,118.6590215,105.8826384,89.11701598,67.99726829,174.3172199,175.1000145,176.0441476,177.3108085,178.5870852,180.9358244,180.3234748,178.3502449,173.5086837,170.0037826,170.3386098,178.0161921
"KES1","YPL145C","ORF","278395-279699","-","XVI",NA,NA,NA,NA,"0000139; 0010922; 0006694; 0006887; 0030011; 0015918; 0015918; 0008142; 0019898; 0000139; 0034727; 0005737; 0006897; 0008142; 0005737; 0006892; 0006892; 0005546; 0005546; 0008142; 0016020; 0008202; 0016126; 0006869; 0006629; 0005829; 0008289; 0005794; 0008289; 0008289; 0015918; 0015918; 0015248; 0015248; 0070300; 0070273; 0006810; 0035621; 0006665","50,29,14,53,24",34,0.00488325476208875,123.2956432,118.7388817,113.1938301,107.2989914,98.37472062,95.35721379,94.13274094,95.82529141,91.29321412,88.64940528,87.70819718,90.62240835,279.9613634,273.2541815,265.6972281,256.3199591,245.0954792,236.8363813,241.8004668,251.0330912,258.5570102,246.5913151,221.2728274,177.0330295
"TPI1","YDR050C","ORF","555726-556472","-","IV","glycolysis",NA,NA,NA,"0016853; 0005737; 0006094; 0006096; 0006098; 0006094; 0006096; 0005886; 0003824; 0004807; 0008152; 0006096; 0046166; 0019563; 0004807; 0005829; 0006094; 0006096; 0005739; 0005739; 0004807","40,38,28,47,36,36,36,44,42,45,22,21,29,40,47,26,15,24,33,42,34,36,34,42,35,40,57,44,35,35,34,47,21,47,43,40,41,52,40,43,34,30,32,32,21,10,31,6,24,39,20,28,29,21,33,23,41,36,22,31",33.9,0.000906504417910052,7013.889642,6951.135879,6879.054058,6794.264858,6682.179902,6576.939825,6518.314509,6602.804141,6544.274009,6505.959437,6488.276894,6506.121771,8890.262707,8066.741605,7105.385006,5805.400803,3991.333438,3387.35809,2763.989918,2538.151683,2734.526005,2919.599923,3126.791205,3240.93104
"KTR3","YBR205W","ORF","633622-634836","+","II",NA,NA,NA,NA,"0000030; 0000032; 0005737; 0000329; 0000324; 0000324; 0006491; 0006493; 0000030; 0000030; 0016740; 0006486; 0016020; 0016757; 0016020; 0016020; 0016021; 0005794; 0097502; 0000026; 0005634","44,36,42,19,28",33.8,-0.00430141982422469,65.57917818,65.56249724,65.71316927,66.02775368,66.8828361,67.26270161,67.91015365,69.82404196,70.23224536,69.74973556,68.14203906,64.85866052,31.99018491,32.92920465,34.01593696,35.56780576,38.11250008,37.4093942,37.40825837,37.12142987,37.67769912,37.60319366,36.06058161,31.78368965
"HPT1","YDR399W","ORF","1270068-1270733","+","IV","salvage pathways of adenine, hypoxanthine and their nucleosides; salvage pathways of guanine, xanthine and their nucleosides; salvage pathways of purines and their nucleosides; salvage pathways of purines and their nucleosides",0,1,0,"0006166; 0009116; 0046872; 0032263; 0032264; 0004422; 0004422; 0005737; 0005634; 0004422; 0004422; 0032264; 0052657; 0005737; 0005737; 0004422; 0004422; 0032264; 0032263; 0032263; 0000166; 0016757; 0005634; 0005634; 0016740","48,45,22,21,32",33.6,-0.00601673942495117,588.7587086,588.106408,585.5636292,583.0036643,573.8346255,580.9486456,581.1054323,551.5495154,541.1260318,524.0337157,499.037641,463.0341372,213.4961799,212.7063486,212.3819807,212.7654954,216.129941,215.2829879,211.3113111,208.3431518,209.8583911,217.1816794,232.4815978,258.5316819
"YOL057W","YOL057W","ORF","220767-222902","+","XV",NA,NA,NA,NA,"0008239; 0006508; 0005737; 0008233; 0006508; 0004177; 0008237; 0008239; 0005634; 0006508; 0005737; 0046872; 0016787; 0005737; 0005737; 0008239","31,34,55,61,37,37,36,26,34,20,34,34,37,38,21,25,35,39,35,29,32,20,33,28,28",33.56,-1.43329256888384e-05,37.9171383,37.6060317,37.03291052,36.36248689,34.71401959,34.50171372,34.38456057,34.29259267,34.02033862,34.13650986,34.63517302,35.86761433,11.8569729,12.22852201,12.78997206,13.68787828,15.21704582,16.08001804,17.22472362,18.44233261,19.81232888,21.00481668,21.28740324,19.91229714
"SER33","YIL074C","ORF","221081-222490","-","IX","serine biosynthesis from 3-phosphoglycerate",NA,NA,NA,"0004617; 0009070; 0055114; 0008652; 0061759; 0061759; 0016616; 0051287; 0055114; 0006564; 0008152; 0016597; 0016491; 0004617; 0005737; 0006564; 0004617; 0061759","34,31,49,13,40",33.4,0.00423496275641621,192.5554829,181.4907528,168.3953481,154.7228366,135.2779843,128.1721645,126.6958891,135.6666671,132.9015387,128.3085939,122.2317593,114.5869765,520.8228437,524.797811,532.8262971,546.6439993,570.8725531,604.1974492,615.5690611,627.332251,648.6434589,667.0387016,675.5488211,667.4825745
"MET22","YOL064C","ORF","206103-207176","-","XV",NA,NA,NA,NA,"0008441; 0006790; 0005737; 0005737; 0005634; 0005634; 0008441; 0005575; 0042538; 0009086; 0016787; 0000103; 0046854; 0046872; 0008441; 0005737; 0016311; 0000287","24,30,53,49,11",33.4,0.000352687909011844,116.5459443,113.9349964,110.9518693,107.9655896,104.0090371,102.9045528,102.7473429,103.2055828,103.8502867,107.1988975,113.6618575,124.7921798,181.4829332,180.9638964,178.7917025,174.2961311,164.4916748,153.1529716,144.8763946,138.4922612,136.7578311,135.0123087,135.8257495,139.9220395
"YLR118C","YLR118C","ORF","384725-385408","-","XII",NA,NA,NA,NA,"0005634; 0005737; 0035601; 0035601; 0052689; 0006629; 0005737; 0005737; 0016787; 0006631; 0008474; 0008474; 0008474; 0002084; 0005737; 0052689; 0016787; 0005634; 0005634","37,60,28,21,20",33.2,0.00765281154742628,46.42453263,47.65454633,49.70294165,52.17437328,57.45742431,58.82390859,59.30134088,59.03383861,56.73830377,54.33190834,50.90925482,46.35230144,8.833159723,9.255846107,9.7314566,10.28355491,10.79339773,11.94423351,11.8603139,11.8002758,12.82481523,13.10586678,12.65662483,11.11910716
