Orf,Name,Annotation,GOSlim cellular component,130min,170min,Overnight
YOR265W,RBL2,Protein involved in microtubule morphogenesis; required for protection from excess free beta-tubulin; proposed to be involved the folding of beta-tubulin; similar to mouse beta-tubulin cofactor A; protein abundance increases in response to DNA replication,cytoplasm,1.267246868,0.818427339,0.564053575
YGR121C,MEP1,"Ammonium permease; belongs to a ubiquitous family of cytoplasmic membrane proteins that transport only ammonium (NH4+); expression is under the nitrogen catabolite repression regulation; MEP1 has a paralog, MEP3, that arose from the whole genome duplicati","membrane,plasma membrane",-2.819382497,-2.528078404,-2.14916178
YLR348C,DIC1,"Mitochondrial dicarboxylate carrier; integral membrane protein, catalyzes a dicarboxylate-phosphate exchange across the inner mitochondrial membrane, transports cytoplasmic dicarboxylates into the mitochondrial matrix","cytoplasm,membrane,mitochondrial envelope,mitochondrion",1.114552562,0.790122514,0.156944095
YDR229W,IVY1,"Phospholipid-binding protein that interacts with both Ypt7p and Vps33p; may partially counteract the action of Vps33p and vice versa, localizes to the rim of the vacuole as cells approach stationary phase","cytoplasm,membrane,vacuole",0.466855784,0.918670631,0.184720359
YIR015W,RPR2,"Subunit of nuclear RNase P; nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; not shared between RNase MRP and RNase P, in contrast to all other RNase P protein subunits; protein abundance increas","nucleolus,nucleus",-0.452330747,0.078066537,0.473357169
YPR190C,RPC82,RNA polymerase III subunit C82,nucleus,0.39344289,0.408689724,-0.101953005
YPL070W,MUK1,"Guanine nucleotide exchange factor (GEF); involved in vesicle-mediated vacuolar transport, including Golgi-endosome trafficking and sorting through the multivesicular body (MVB); specifically stimulates the intrinsic guanine nucleotide exchange activity o",cytoplasm,-0.541190489,-0.185566447,-0.274323817
YML073C,RPL6A,"Ribosomal 60S subunit protein L6A; N-terminally acetylated; binds 5.8S rRNA; homologous to mammalian ribosomal protein L6, no bacterial homolog; RPL6A has a paralog, RPL6B, that arose from the whole genome duplication","cytoplasm,ribosome",-0.951079949,-0.628446111,
YDR083W,RRP8,Nucleolar S-adenosylmethionine-dependent rRNA methyltransferase; methylates adenine (m1A) of the large subunit (LSU) rRNA at position 645; involved in pre-rRNA cleavage at site A2; mutation is synthetically lethal with a gar1 mutation; deletion disrupts t,"nucleolus,nucleus",-0.272655378,-0.863610186,-2.561988662
YDL219W,DTD1,"D-Tyr-tRNA(Tyr) deacylase; functions in protein translation, may affect nonsense suppression via alteration of the protein synthesis machinery; ubiquitous among eukaryotes",cytoplasm,0.139302321,-0.514259144,1.021550666
YJL044C,GYP6,GTPase-activating protein (GAP) for yeast Rab family member Ypt6p; involved in vesicle mediated protein transport,"Golgi apparatus,cytoplasm,cytoplasmic membrane-bounded vesicle,endomembrane system",-0.029582908,0.289235505,0.727600499
YHR204W,MNL1,"Alpha-1,2-specific exomannosidase of the endoplasmic reticulum; in complex with Pdi1p, generates a Man7GlcNac2 oligosaccharide signal on glycoproteins destined for ubiquitin-proteasome degradation","cytoplasm,endomembrane system,endoplasmic reticulum",0.564149499,0.021644161,-0.318091368
YKL049C,CSE4,"Centromere protein that resembles histone H3; associated with promoters, accessible chromatin and RNA polymerase II-bound regions; phosphorylated Cse4p associates with centromeres; required for proper kinetochore function; levels regulated by E3 ubiquitin","chromosome,nucleus",-1.72521269,-1.624420021,-0.704820713
YOR173W,DCS2,"m(7)GpppX pyrophosphatase regulator; non-essential, stress induced regulatory protein; modulates m7G-oligoribonucleotide metabolism; inhibits Dcs1p; regulated by Msn2p, Msn4p, and the Ras-cAMP-cAPK signaling pathway; mutant has increased aneuploidy tolera",cytoplasm,-0.35573754,1.694074617,-1.644299116
YDR243C,PRP28,RNA helicase in the DEAD-box family; involved in RNA isomerization at the 5' splice site and for exchange of U6 for U1 snRNA at the 5' splice site,nucleus,-0.58006989,-1.107336917,-0.35078114
YBR071W,YBR071W,Protein of unknown function found in the cytoplasm and bud neck; mRNA expression may be regulated by the cell cycle and/or cell wall stress; overexpression of YBR071W affects endocytic protein trafficking,"cellular bud,cytoplasm,site of polarized growth",-0.674002114,-0.692841401,-1.222777975
YPL045W,VPS16,Subunit of the HOPS and the CORVET complexes; part of the Class C Vps complex essential for membrane docking and fusion at Golgi-to-endosome and endosome-to-vacuole protein transport stages,"cytoplasm,endomembrane system,membrane,vacuole",-0.131272502,0.153308105,-0.900940711
YNL218W,MGS1,Protein with DNA-dependent ATPase and ssDNA annealing activities; involved in maintenance of genome; interacts functionally with DNA polymerase delta; homolog of human Werner helicase interacting protein (WHIP); forms nuclear foci upon DNA replication str,"cellular_component,cytoplasm,nucleus",-0.103456498,-0.554438176,-0.56604044
YBL063W,KIP1,"Kinesin-related motor protein; required for mitotic spindle assembly, chromosome segregation, and 2 micron plasmid partitioning; functionally redundant with Cin8p for chromosomal but not plasmid functions","cytoskeleton,microtubule organizing center,nucleus",0.013428813,-0.842039247,2.752317269
YGR204W,ADE3,"Cytoplasmic trifunctional enzyme C1-tetrahydrofolate synthase; involved in single carbon metabolism and required for biosynthesis of purines, thymidylate, methionine, and histidine; null mutation causes auxotrophy for adenine and histidine","cytoplasm,nucleus",0.832548942,0.783155643,-0.719938477
YLR323C,CWC24,General splicing factor; required for stable U2 snRNP binding to primary transcripts; essential for the first step of splicing; component of the pre-catalytic spliceosome complex containing Cef1p; similar to S. pombe Cwf24p,nucleus,-0.047059616,-0.154339657,-0.552276096
YMR037C,MSN2,Stress-responsive transcriptional activator; activated in stochastic pulses of nuclear localization in response to various stress conditions; binds DNA at stress response elements of responsive genes; relative distribution to nucleus increases upon DNA re,"cytoplasm,nucleus",0.128488439,0.202291064,0.097948145
YKL058W,TOA2,"TFIIA small subunit; involved in transcriptional activation, acts as antirepressor or as coactivator; required, along with Toa1p, for ribosomal protein gene transcription in vivo; homologous to smallest subunit of human and Drosophila TFIIA; protein abund",nucleus,-0.30446032,0.678520969,0.186726319
YDR234W,LYS4,"Homoaconitase; catalyzes the conversion of homocitrate to homoisocitrate, which is a step in the lysine biosynthesis pathway","cytoplasm,mitochondrion",-0.857054617,-0.749738241,0.934759157
YOR344C,TYE7,Serine-rich protein that contains a bHLH DNA binding motif; binds E-boxes of glycolytic genes and contributes to their activation; may function as a transcriptional activator in Ty1-mediated gene expression; bHLH stands for basic-helix-loop-helix,"chromosome,nucleus",0.316920432,0.211921808,0.419049796
YPL198W,RPL7B,Ribosomal 60S subunit protein L7B; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); binds ,"cytoplasm,nucleolus,nucleus,ribosome",1.073007585,1.002015064,-1.108227577
YOR335C,ALA1,Cytoplasmic and mitochondrial alanyl-tRNA synthetase; required for protein synthesis; point mutation (cdc64-1 allele) causes cell cycle arrest at G1; lethality of null mutation is functionally complemented by human homolog,"cytoplasm,mitochondrion",0.857418769,0.308838152,-0.566843152
YKR031C,SPO14,"Phospholipase D; catalyzes the hydrolysis of phosphatidylcholine, producing choline and phosphatidic acid; involved in Sec14p-independent secretion; required for meiosis and spore formation; differently regulated in secretion and meiosis; participates in ","cytoplasm,endomembrane system,membrane,nucleus",0.268268623,-0.427026585,0.733760353
YMR319C,FET4,Low-affinity Fe(II) transporter of the plasma membrane,"membrane,plasma membrane",-1.266435853,-0.018468909,0.777862087
YGR046W,TAM41,"Mitochondrial phosphatidate cytidylyltransferase (CDP-DAG synthase); required for cardiolipin biosynthesis; viability of null mutant is strain-dependent; mRNA is targeted to the bud; mutant displays defect in mitochondrial protein import, likely due to al","cytoplasm,membrane,mitochondrial envelope,mitochondrion",-0.189647501,0.012474483,0.062269259
YGL197W,MDS3,"Putative component of the TOR regulatory pathway; negative regulator of early meiotic gene expression; required, with Pmd1p, for growth under alkaline conditions; has an N-terminal kelch-like domain; MDS3 has a paralog, PMD1, that arose from the whole gen","cytoplasm,mitochondrion",0.535553811,0.520634103,0.365040016
YPR107C,YTH1,Essential RNA-binding component of cleavage and polyadenylation factor; contains five zinc fingers; required for pre-mRNA 3'-end processing and polyadenylation; relocalizes to the cytosol in response to hypoxia,"cytoplasm,nucleus",-0.212060397,-0.102603991,-0.402992838
YJR146W,YJR146W,Protein of unknown function; expressed at both mRNA and protein levels; partially overlaps HMS2,cellular_component,-0.04223229,0.606635534,1.46769508
YJL042W,MHP1,Microtubule-associated protein involved in microtubule organization; involved in assembly and stabilization of microtubules; overproduction results in cell cycle arrest at G2 phase; similar to Drosophila protein MAP and to mammalian MAP4 proteins,cytoskeleton,3.24949,0.934979066,1.452957826
YLR420W,URA4,"Dihydroorotase; catalyzes the third enzymatic step in the de novo biosynthesis of pyrimidines, converting carbamoyl-L-aspartate into dihydroorotate","cytoplasm,nucleus",-0.032834782,-0.072412542,0.195348916
YDL125C,HNT1,"Adenosine 5'-monophosphoramidase; interacts physically and genetically with Kin28p, a CDK and TFIIK subunit, and genetically with CAK1; member of the histidine triad (HIT) superfamily of nucleotide-binding proteins and similar to Hint; protein abundance i","cytoplasm,nucleus",-0.179373216,0.547385949,-0.945571623
YOL006C,TOP1,"Topoisomerase I; nuclear enzyme that relieves torsional strain in DNA by cleaving and re-sealing the phosphodiester backbone; relaxes both positively and negatively supercoiled DNA; functions in replication, transcription, and recombination; role in proce","chromosome,nucleolus,nucleus",1.324040229,1.603427425,-0.8039178
YNL304W,YPT11,"Rab GTPase; Myo2p-binding protein implicated in mother-to-bud transport of cortical endoplasmic reticulum (ER), late Golgi, and mitochondria during cell division; function is regulated at multiple levels; abundance of active Ypt11p forms is controlled by ","cellular bud,cytoplasm,endomembrane system,endoplasmic reticulum,mitochondrion,site of polarized growth",-0.618739427,-0.06684399,-1.40056062
YLR223C,IFH1,"Coactivator, regulates transcription of ribosomal protein (RP) genes; recruited to RP gene promoters during optimal growth conditions via Fhl1p; subunit of CURI, a complex that coordinates RP production and pre-rRNA processing; regulated by acetylation an","chromosome,nucleolus,nucleus",0.030700696,0.23081866,1.779232152
YOR131C,YOR131C,Putative haloacid dehalogenase-like hydrolase; non-essential gene; overexpression causes a cell cycle delay or arrest; protein abundance increases in response to DNA replication stress,"cytoplasm,nucleus",0.378483629,-0.097126171,-0.521374586
YJR013W,GPI14,"Glycosylphosphatidylinositol-alpha 1,4 mannosyltransferase I; involved in GPI anchor biosynthesis, requires Pbn1p for function; homolog of mammalian PIG-M","cytoplasm,endomembrane system,endoplasmic reticulum,membrane",-0.263245339,-0.300889817,0.209977187
YOL057W,YOL057W,Dipeptidyl-peptidase III; cleaves dipeptides from the amino terminus of target proteins; highly active on synthetic substrate Arg-Arg-2-naphthylamide; mammalian ortholog may be a biomarker for some cancers,"cytoplasm,nucleus",0.92546702,0.660037248,-0.274551525
YLR055C,SPT8,Subunit of the SAGA transcriptional regulatory complex; not present in SAGA-like complex SLIK/SALSA; required for SAGA-mediated inhibition at some promoters,nucleus,-0.817307156,-0.478125766,-0.603952227
YGR209C,TRX2,"Cytoplasmic thioredoxin isoenzyme; part of thioredoxin system which protects cells against oxidative and reductive stress; forms LMA1 complex with Pbi2p; acts as a cofactor for Tsa1p; required for ER-Golgi transport and vacuole inheritance; with Trx1p, fa","cytoplasm,vacuole",2.20356092,2.158347166,
YBR197C,YBR197C,"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YBR197C is not an essential gene; relative distribution to the nucleus increases upon DNA replication stress; YBR197C has a paralog, YPL077","cytoplasm,nucleus",-0.329382148,-0.157007117,-0.606908736
YOL068C,HST1,NAD(+)-dependent histone deacetylase; essential subunit of the Sum1p/Rfm1p/Hst1p complex required for ORC-dependent silencing and mitotic repression; non-essential subunit of the Set3C deacetylase complex; involved in telomere maintenance; HST1 has a para,"chromosome,nucleus",0.147146563,0.50561392,-0.370244367
YOL028C,YAP7,"Putative basic leucine zipper (bZIP) transcription factor; YAP7 has a paralog, YAP5, that arose from the whole genome duplication",nucleus,-0.111042566,0.108938881,-0.557793031
YBR130C,SHE3,Protein adaptor between Myo4p and the She2p-mRNA complex; part of the mRNA localization machinery that restricts accumulation of certain proteins to the bud; also required for cortical ER inheritance,"cellular bud,cytoplasm,site of polarized growth",-0.199029817,-0.247121068,-0.494824207
YOR143C,THI80,Thiamine pyrophosphokinase; phosphorylates thiamine to produce the coenzyme thiamine pyrophosphate (thiamine diphosphate),cytoplasm,0.206534563,-0.800017976,-0.017824931
YHR097C,YHR097C,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus; YHR097C has a paralog, PAL1, that arose from the whole genome duplication","cytoplasm,nucleus",0.877906017,1.975547684,0.451904687
YKL197C,PEX1,AAA-peroxin; heterodimerizes with AAA-peroxin Pex6p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol; induced by oleic acid and upregulated during anaerobiosis,"cytoplasm,membrane,peroxisome",0.173427806,0.240984936,1.804920136
YEL002C,WBP1,Beta subunit of the oligosaccharyl transferase glycoprotein complex; required for N-linked glycosylation of proteins in the endoplasmic reticulum,"cytoplasm,endomembrane system,endoplasmic reticulum,membrane,nucleus",0.018182985,0.224771418,-0.275089092
YDR421W,ARO80,Zinc finger transcriptional activator of the Zn2Cys6 family; activates transcription of aromatic amino acid catabolic genes in the presence of aromatic amino acids,nucleus,-0.371381847,0.273275443,-0.374404673
YPR097W,YPR097W,"Protein that contains a PX domain and binds phosphoinositides; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; PX stands for Phox homology","cytoplasm,mitochondrion",0.793944395,0.489920227,2.338178398
YJR105W,ADO1,Adenosine kinase; required for the utilization of S-adenosylmethionine (AdoMet); may be involved in recycling adenosine produced through the methyl cycle,"cytoplasm,nucleus",-0.278091712,0.617973917,0.596324943
YGR031W,IMO32,Conserved mitochondrial protein of unknown function; processed by both mitochondrial processing peptidase and mitochondrial octapeptidyl aminopeptidase; gene contains the nested antisense gene NAG1,"cytoplasm,mitochondrion",-0.096652446,0.1092534,1.135343026
YNL216W,RAP1,"Essential DNA-binding transcription regulator that binds many loci; involved in transcription activation and repression, chromatin silencing, and telomere length maintenance; relocalizes to the cytosol in response to hypoxia; conserved protein with an N-t","chromosome,cytoplasm,nucleus",1.308767941,1.244868356,0.057827824
YNL273W,TOF1,"Subunit of a replication-pausing checkpoint complex; Tof1p-Mrc1p-Csm3p acts at the stalled replication fork to promote sister chromatid cohesion after DNA damage, facilitating gap repair of damaged DNA; interacts with the MCM helicase; relocalizes to the ","chromosome,cytoplasm,nucleus",0.439382861,0.046144107,1.071410122
YIL030C,SSM4,Ubiquitin-protein ligase involved in ER-associated protein degradation; located in the ER/nuclear envelope; ssm4 mutation suppresses mRNA instability caused by an rna14 mutation,"cytoplasm,endomembrane system,endoplasmic reticulum,membrane,nucleus",-0.025257479,-0.259068259,0.232274578
YNL056W,OCA2,Putative protein of unknown function; similar to predicted tyrosine phosphatases Oca1p and Siw14p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YNL056W is not an essential gene,cytoplasm,-0.689384475,-0.983600853,-0.98740346
YNL112W,DBP2,"ATP-dependent RNA helicase of the DEAD-box protein family; has a strong preference for dsRNA; interacts with YRA1; required for the assembly of Yra1p, Nab2p and Mex67p onto mRNA and formation of nuclear mRNP; involved in mRNA decay and rRNA processing; ma","cytoplasm,mitochondrion,nucleus",0.030355743,-0.648299749,-0.271925947
YKR100C,SKG1,"Transmembrane protein with a role in cell wall polymer composition; localizes on inner surface of plasma membrane at bud and in daughter cell; SKG1 has a paralog, AIM20, that arose from the whole genome duplication","cellular bud,site of polarized growth",1.591974599,1.580267608,0.167148721
YKR023W,YKR023W,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies","cytoplasm,mitochondrion",1.496105242,0.323358988,-0.625370267
YOL087C,DUF1,"Ubiquitin-binding protein of unknown function; contains one WD40 repeat in a beta-propeller fold; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; homolog of human WDR48/UAF1, which is involved in regulating the Fanconi anemia pa",cytoplasm,-0.481111899,-0.061016169,0.976960836
YDR486C,VPS60,Protein involved in late endosome to vacuole transport; cytoplasmic and vacuolar membrane protein; required for normal filament maturation during pseudohyphal growth; may function in targeting cargo proteins for degradation; interacts with Vta1p,"cytoplasm,membrane,vacuole",-1.393332143,-1.882161497,-1.644042923
YOL049W,GSH2,Glutathione synthetase; catalyzes the ATP-dependent synthesis of glutathione (GSH) from gamma-glutamylcysteine and glycine; induced by oxidative stress and heat shock,other,-0.840332324,-0.96439237,0.132328528
YEL054C,RPL12A,"Ribosomal 60S subunit protein L12A; rpl12a rpl12b double mutant exhibits slow growth and slow translation; homologous to mammalian ribosomal protein L12 and bacterial L11; RPL12A has a paralog, RPL12B, that arose from the whole genome duplication","cytoplasm,ribosome",-0.334844685,-0.417179326,-0.036000614
YBL067C,UBP13,"Ubiquitin-specific protease that cleaves Ub-protein fusions; UBP13 has a paralog, UBP9, that arose from the whole genome duplication",cellular_component,0.408592983,0.505655949,2.084418248
YPR145W,ASN1,"Asparagine synthetase; catalyzes the synthesis of L-asparagine from L-aspartate in the asparagine biosynthetic pathway; ASN1 has a paralog, ASN2, that arose from the whole genome duplication",cytoplasm,-0.694862408,0.617729725,0.675623047
YKL069W,YKL069W,"Methionine-R-sulfoxide reductase; reduces the R enantiomer of free Met-SO, in contrast to Ycl033Cp which reduces Met-R-SO in a peptide linkage; has a role in protection against oxidative stress; relative distribution to the nucleus increases upon DNA repl","cytoplasm,nucleus",-0.276563765,-1.063673906,-0.062011305
YIL096C,BMT5,Methyltransferase required for m3U2634 methylation of the 25S rRNA; S-adenosylmethionine-dependent; associates with precursors of the 60S ribosomal subunit; predicted to be involved in ribosome biogenesis,"nucleolus,nucleus",0.055191706,-0.299330632,1.548594788
YHR101C,BIG1,"Integral membrane protein of the endoplasmic reticulum; required for normal content of cell wall beta-1,6-glucan","cytoplasm,endomembrane system,endoplasmic reticulum,membrane",-0.969027138,-0.095065451,1.354342006
YOR363C,PIP2,"Autoregulatory, oleate-activated transcription factor; subunit of a heterodimeric complex with Oaf1p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis,","membrane,nucleus",0.236022357,0.199475731,0.276099191
YMR207C,HFA1,"Mitochondrial acetyl-coenzyme A carboxylase; catalyzes production of malonyl-CoA in mitochondrial fatty acid biosynthesis; relocalizes from mitochondrion to cytoplasm upon DNA replication stress; HFA1 has a paralog, ACC1, that arose from the whole genome ","cytoplasm,mitochondrion",0.824838155,0.445939801,2.121034983
YFL034C-B,MOB2,Activator of Cbk1p kinase; component of the RAM signaling network that regulates cellular polarity and morphogenesis; activation of Cbk1p facilitates the Ace2p-dependent daughter cell-specific transcription of genes involved in cell separation; similar to,"cellular bud,nucleus,site of polarized growth",,-0.156966555,0.815130544
YBR097W,VPS15,Serine/threonine protein kinase involved in vacuolar protein sorting; functions as a membrane-associated complex with Vps34p; active form recruits Vps34p to the Golgi membrane; interacts with the GDP-bound form of Gpa1p; myristoylated; a fraction is local,"cytoplasm,endomembrane system,membrane,mitochondrion,nucleus",0.066345309,0.151777596,0.211515247
YOR272W,YTM1,Constituent of 66S pre-ribosomal particles; forms a complex with Nop7p and Erb1p that is required for maturation of the large ribosomal subunit; has seven C-terminal WD repeats,"nucleolus,nucleus",-0.002917858,-1.765855943,-1.023790357
YOR347C,PYK2,"Pyruvate kinase; appears to be modulated by phosphorylation; transcription repressed by glucose, and Pyk2p may be active under low glycolytic flux; PYK2 has a paralog, CDC19, that arose from the whole genome duplication","cytoplasm,mitochondrion",0.481410631,0.591633121,-0.170765676
YOR262W,GPN2,Putative GTPase with a role in biogenesis of RNA pol II and polIII; may be involved in assembly of RNA polymerases II and III and in their transport into the nucleus; contains a Gly-Pro-Asn motif in the G domain; similar to Npa3p and Gpn3p; highly conserv,cytoplasm,0.325949173,-0.204531439,0.06131151
YOR227W,HER1,"Protein of unknown function; required for proliferation or remodeling of the ER that is caused by overexpression of Hmg2p; may interact with ribosomes, based on co-purification experiments; HER1 has a paralog, GIP3, that arose from the whole genome duplic","cytoplasm,mitochondrion,ribosome",0.930973097,0.779659745,2.876946445
YGL180W,ATG1,Protein serine/threonine kinase; required for vesicle formation in autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway; structurally required for phagophore assembly site formation; during autophagy forms a complex with Atg13p and Atg17p; essen,"cytoplasm,membrane,vacuole",0.029191758,0.109559557,1.209621716
YGR279C,SCW4,"Cell wall protein with similarity to glucanases; scw4 scw10 double mutants exhibit defects in mating; SCW4 has a paralog, SCW10, that arose from the whole genome duplication","cell wall,cytoplasm,extracellular region,vacuole",-2.349775617,-1.990768506,-2.598964047
YER091C,MET6,"Cobalamin-independent methionine synthase; involved in methionine biosynthesis and regeneration; requires a minimum of two glutamates on the methyltetrahydrofolate substrate, similar to bacterial metE homologs","cytoplasm,membrane,plasma membrane",0.826380262,1.726839432,0.219507267
YAL010C,MDM10,"Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component t","cytoplasm,endomembrane system,endoplasmic reticulum,membrane,mitochondrial envelope,mitochondrion",0.978539709,-0.156613756,-0.610275874
YLR191W,PEX13,Peroxisomal importomer complex component; integral peroxisomal membrane protein required for docking and translocation of peroxisomal matrix proteins; interacts with the PTS1 signal recognition factor Pex5p and the PTS2 signal recognition factor Pex7p; fo,"cytoplasm,membrane,peroxisome",0.626858021,0.083820882,0.679853427
YNL198C,YNL198C,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",cellular_component,-0.931387254,-0.127297166,0.309077688
YJL140W,RPB4,RNA polymerase II subunit B32; forms dissociable heterodimer with Rpb7p; Rpb4/7 dissociates from RNAPII as Ser2 CTD phosphorylation increases; Rpb4/7 regulates cellular lifespan via mRNA decay process; involved in recruitment of 3'-end processing factors ,"cytoplasm,nucleus",,0.145027654,
YBL011W,SCT1,Glycerol 3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase; dual substrate-specific acyltransferase of the glycerolipid biosynthesis pathway; prefers 16-carbon fatty acids; similar to Gpt2p; gene is constitutively transcribed,"cytoplasm,endomembrane system,endoplasmic reticulum,membrane",,-0.062655877,-0.107660744
YDR498C,SEC20,Membrane glycoprotein v-SNARE; involved in retrograde transport from the Golgi to the endoplasmic reticulum (ER); required for N- and O-glycosylation in the Golgi but not in the ER; interacts with the Dsl1p complex through Tip20p ,"cytoplasm,endomembrane system,endoplasmic reticulum,membrane,peroxisome",-0.893050319,-0.296815131,0.5133836
YNL044W,YIP3,Protein localized to COPII vesicles; proposed to be involved in ER to Golgi transport; interacts with members of the Rab GTPase family and Yip1p; also interacts with Rtn1p,"Golgi apparatus,cytoplasm,cytoplasmic membrane-bounded vesicle,endomembrane system,endoplasmic reticulum",0.00557871,-0.295898718,-0.276340121
YCL031C,RRP7,Essential protein involved in rRNA processing and ribosome biogenesis; protein abundance increases in response to DNA replication stress,"nucleolus,nucleus",0.528384124,0.317792484,-0.912112848
YOR086C,TCB1,"Lipid-binding ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to plasma membrane and regulate PI4P levels by controlling access of Sac1p phosphatase to its substrate PI4P i","cell cortex,cytoplasm,endomembrane system,endoplasmic reticulum,membrane,mitochondrion,plasma membrane",0.191271013,0.379928694,-0.798735954
YBR016W,YBR016W,"Tail-anchored plasma membrane protein with a conserved CYSTM module; predicted to be palmitoylated; has similarity to hydrophilins, which are involved in the adaptive response to hyperosmotic conditions; YBR016W has a paralog, YDL012C, that arose from the","cellular bud,membrane,plasma membrane",1.206583002,1.699007259,0.258584821
YBR017C,KAP104,Transportin or cytosolic karyopherin beta 2; functions in the rg-nuclear localization signal-mediated nuclear import/reimport of mRNA-binding proteins Nab2p and Hrp1p; regulates asymmetric protein synthesis in daughter cells during mitosis,"cellular bud,cytoplasm,membrane,site of polarized growth",-1.174729224,-0.733107465,-0.413583423
