"Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN"
"YARCdelta5","YARCdelta5","long_terminal_repeat","165826-166162","-","I"
"TGA1","tA(UGC)A","tRNA_gene","166267-166339","+","I"
"BUD14","YAR014C","ORF","166742-168871","-","I"
"ADE1","YAR015W","ORF","169375-170295","+","I"
"KIN3","YAR018C","ORF","170396-171703","-","I"
"CDC15","YAR019C","ORF","172211-175135","-","I"
"YAR019W-A","YAR019W-A","ORF","174998-175330","+","I"
"ARS110","ARS110","ARS","176157-176404","0","I"
"PAU7","YAR020C","ORF","176856-177023","-","I"
"YAR023C","YAR023C","ORF","179281-179820","-","I"
"SUP56","tL(CAA)A","tRNA_gene","181141-181254","+","I"
"tS(AGA)A","tS(AGA)A","tRNA_gene","182522-182603","-","I"
"YARWsigma1","YARWsigma1","long_terminal_repeat","182620-182959","+","I"
"YARWdelta6","YARWdelta6","long_terminal_repeat","183142-183474","+","I"
"UIP3","YAR027W","ORF","183770-184477","+","I"
"YAR028W","YAR028W","ORF","184892-185596","+","I"
"YAR029W","YAR029W","ORF","186321-186545","+","I"
"YAR030C","YAR030C","ORF","186512-186853","-","I"
"PRM9","YAR031W","ORF","186836-187732","+","I"
"MST28","YAR033W","ORF","188107-188811","+","I"
"YARWdelta7","YARWdelta7","long_terminal_repeat","189426-189757","+","I"
"YAT1","YAR035W","ORF","190193-192256","+","I"
"YAR035C-A","YAR035C-A","ORF","192337-192417","-","I"
"SWH1","YAR042W","ORF","192619-196185","+","I"
"YAR047C","YAR047C","ORF","201467-201787","-","I"
"FLO1","YAR050W","ORF","203403-208016","+","I"
"YAR053W","YAR053W","ORF","208367-208663","+","I"
"YARCdelta8","YARCdelta8","long_terminal_repeat","209448-209778","-","I"
"ARS111","ARS111","ARS","214888-215644","0","I"
"YAR060C","YAR060C","ORF","217157-217492","-","I"
"YAR061W","YAR061W","pseudogene","218140-219145","+","I"
"YAR064W","YAR064W","ORF","220198-220497","+","I"
"YAR066W","YAR066W","ORF","221049-221660","+","I"
"YAR068W","YAR068W","ORF","222406-222891","+","I"
"ARS112","ARS112","ARS","222880-224046","0","I"
"YAR069C","YAR069C","ORF","224011-224304","-","I"
"YAR070C","YAR070C","ORF","224563-224862","-","I"
"PHO11","YAR071W","ORF","225460-226863","+","I"
"IMD1","YAR073W","ORF","227742-228953","+","I"
"YAR075W","YAR075W","ORF","228844-229317","+","I"
"TEL01R","TEL01R","telomere","229411-230218","+","I"
"TEL02L","TEL02L","telomere","1-6608","-","II"
"ARS200","ARS200","ARS","40-202","0","II"
"YBL113C","YBL113C","ORF","280-2658","-","II"
"YBL113W-A","YBL113W-A","ORF","646-1128","+","II"
"YBL112C","YBL112C","ORF","2582-2899","-","II"
"YBL111C","YBL111C","ORF","2907-5009","-","II"
"YBL109W","YBL109W","ORF","5790-6125","+","II"
"ARS201","ARS201","ARS","6498-6620","0","II"
"PAU9","YBL108C-A","ORF","7605-7733","-","II"
"YBL108W","YBL108W","ORF","8177-8482","+","II"
"YBLWdelta1","YBLWdelta1","long_terminal_repeat","8848-9092","+","II"
"YBLWdelta2","YBLWdelta2","long_terminal_repeat","9093-9424","+","II"
"YBL107W-A","YBL107W-A","ORF","9268-9372","+","II"
"YBLWdelta3","YBLWdelta3","long_terminal_repeat","9425-9518","+","II"
"tL(UAA)B1","tL(UAA)B1","tRNA_gene","9583-9666","+","II"
"MIX23","YBL107C","ORF","9961-10551","-","II"
"SRO77","YBL106C","ORF","10847-13879","-","II"
"PKC1","YBL105C","ORF","14241-17696","-","II"
"SEA4","YBL104C","ORF","18177-21293","-","II"
"RTG3","YBL103C","ORF","22076-23536","-","II"
"SFT2","YBL102W","ORF","24098-24745","+","II"
"ECM21","YBL101C","ORF","24946-28299","-","II"
"YBL100W-C","YBL100W-C","ORF","28427-28546","+","II"
"ARS230","ARS230","ARS","28942-29160","0","II"
"YBLWdelta4","YBLWdelta4","long_terminal_repeat","29644-29975","+","II"
"YBLWTy2-1","YBLWTy2-1","LTR_retrotransposon","29644-35602","+","II"
"YBL100W-A","YBL100W-A","transposable_element_gene","29935-31251","+","II"
"YBL100W-B","YBL100W-B","transposable_element_gene","29935-35248","+","II"
"YBLWdelta5","YBLWdelta5","long_terminal_repeat","35271-35602","+","II"
"YBLWdelta6","YBLWdelta6","long_terminal_repeat","35604-35796","+","II"
"YBLCtau1","YBLCtau1","long_terminal_repeat","35851-36221","-","II"
"tF(GAA)B","tF(GAA)B","tRNA_gene","36398-36488","+","II"
"YBL100C","YBL100C","ORF","36989-37303","-","II"
"ATP1","YBL099W","ORF","37053-38690","+","II"
"BNA4","YBL098W","ORF","39145-40527","+","II"
"BRN1","YBL097W","ORF","40831-43095","+","II"
"YBL096C","YBL096C","ORF","43174-43482","-","II"
"MRX3","YBL095W","ORF","43277-44089","+","II"
"YBL094C","YBL094C","ORF","43765-44097","-","II"
"ROX3","YBL093C","ORF","44256-44918","-","II"
"RPL32","YBL092W","ORF","45978-46370","+","II"
"SCS22","YBL091C-A","ORF","46565-47180","-","II"
"MAP2","YBL091C","ORF","47363-48628","-","II"
"MRP21","YBL090W","ORF","48825-49358","+","II"
"AVT5","YBL089W","ORF","49574-50953","+","II"
"TEL1","YBL088C","ORF","51019-59382","-","II"
"RPL23A","YBL087C","ORF","59822-60739","-","II"
"YBL086C","YBL086C","ORF","61202-62602","-","II"
"ARS202","ARS202","ARS","63259-63381","0","II"
"BOI1","YBL085W","ORF","63876-66818","+","II"
"CDC27","YBL084C","ORF","67169-69445","-","II"
"YBL083C","YBL083C","ORF","69713-70138","-","II"
"ALG3","YBL082C","ORF","69751-71127","-","II"
"YBL081W","YBL081W","ORF","71866-72972","+","II"
"PET112","YBL080C","ORF","73070-74695","-","II"
"NUP170","YBL079W","ORF","75259-79767","+","II"
"ATG8","YBL078C","ORF","80378-80731","-","II"
"YBL077W","YBL077W","ORF","80897-81328","+","II"
"ILS1","YBL076C","ORF","81043-84261","-","II"
"SSA3","YBL075C","ORF","84499-86448","-","II"
"AAR2","YBL074C","ORF","86722-87789","-","II"
"YBL073W","YBL073W","ORF","87646-87957","+","II"
"SNR56","snR56","snoRNA_gene","88190-88277","+","II"
"RPS8A","YBL072C","ORF","88523-89125","-","II"
"YBL071C-B","YBL071C-B","ORF","89458-89556","-","II"
"KTI11","YBL071W-A","ORF","89978-90226","+","II"
"YBL071C","YBL071C","ORF","90223-90531","-","II"
"YBL070C","YBL070C","ORF","90605-90925","-","II"
"AST1","YBL069W","ORF","90741-92030","+","II"
"YBL068W-A","YBL068W-A","ORF","91794-92030","+","II"
"PRS4","YBL068W","ORF","92414-93394","+","II"
"ARS203","ARS203","ARS","93435-93519","0","II"
"UBP13","YBL067C","ORF","93639-95882","-","II"
"SEF1","YBL066C","ORF","96669-100115","-","II"
"YBL065W","YBL065W","ORF","99963-100307","+","II"
"PRX1","YBL064C","ORF","100371-101156","-","II"
"KIP1","YBL063W","ORF","101886-105221","+","II"
"YBL062W","YBL062W","ORF","105308-105688","+","II"
"SKT5","YBL061C","ORF","105316-107406","-","II"
"YEL1","YBL060W","ORF","107932-109995","+","II"
"CMC2","YBL059C-A","ORF","110125-110539","-","II"
"YBL059W","YBL059W","ORF","110594-111244","+","II"
"SHP1","YBL058W","ORF","111437-112708","+","II"
"PTH2","YBL057C","ORF","112801-113427","-","II"
"PTC3","YBL056W","ORF","113762-115168","+","II"
"YBL055C","YBL055C","ORF","115573-116829","-","II"
"TOD6","YBL054W","ORF","117589-119166","+","II"
"YBL053W","YBL053W","ORF","119335-119709","+","II"
"SAS3","YBL052C","ORF","119379-121874","-","II"
"PIN4","YBL051C","ORF","122753-124759","-","II"
"SEC17","YBL050W","ORF","125125-126119","+","II"
"MOH1","YBL049W","ORF","126828-127244","+","II"
"RRT1","YBL048W","ORF","127299-127610","+","II"
"EDE1","YBL047C","ORF","127895-132040","-","II"
"PSY4","YBL046W","ORF","132424-133749","+","II"
"COR1","YBL045C","ORF","134143-135516","-","II"
"YBL044W","YBL044W","ORF","135998-136366","+","II"
"ECM13","YBL043W","ORF","136688-137461","+","II"
"FUI1","YBL042C","ORF","138341-140260","-","II"
"PRE7","YBL041W","ORF","141247-141972","+","II"
"ERD2","YBL040C","ORF","142112-142868","-","II"
"YBL039W-B","YBL039W-B","ORF","143393-143572","+","II"
"ARS206","ARS206","ARS","143658-143745","0","II"
"URA7","YBL039C","ORF","143989-145728","-","II"
"YBL039C-A","YBL039C-A","ORF","144948-145031","-","II"
"MRPL16","YBL038W","ORF","146187-146885","+","II"
"APL3","YBL037W","ORF","147209-150286","+","II"
"YBL036C","YBL036C","ORF","150447-151220","-","II"
"POL12","YBL035C","ORF","151493-153610","-","II"
"STU1","YBL034C","ORF","153848-158389","-","II"
"RIB1","YBL033C","ORF","158656-159693","-","II"
"HEK2","YBL032W","ORF","160184-161329","+","II"
"SHE1","YBL031W","ORF","161699-162715","+","II"
"PET9","YBL030C","ORF","163041-163997","-","II"
"YBL029C-A","YBL029C-A","ORF","164488-164772","-","II"
"YBL029W","YBL029W","ORF","166134-167264","+","II"
"YBL028C","YBL028C","ORF","167518-167838","-","II"
"RPL19B","YBL027W","ORF","168423-169376","+","II"
"ARS207","ARS207","ARS","170173-170279","0","II"
"LSM2","YBL026W","ORF","170623-171038","+","II"
"RRN10","YBL025W","ORF","171481-171918","+","II"
"NCL1","YBL024W","ORF","172534-174588","+","II"
"MCM2","YBL023C","ORF","174920-177526","-","II"
"PIM1","YBL022C","ORF","177874-181275","-","II"
"HAP3","YBL021C","ORF","181660-182094","-","II"
"RFT1","YBL020W","ORF","182401-184125","+","II"
"APN2","YBL019W","ORF","184353-185915","+","II"
"POP8","YBL018C","ORF","185998-186474","-","II"
"PEP1","YBL017C","ORF","186844-191583","-","II"
"FUS3","YBL016W","ORF","192451-193512","+","II"
"ACH1","YBL015W","ORF","194122-195702","+","II"
"YBLCdelta7","YBLCdelta7","long_terminal_repeat","197016-197320","-","II"
"tI(AAU)B","tI(AAU)B","tRNA_gene","197494-197567","+","II"
"tG(GCC)B","tG(GCC)B","tRNA_gene","197629-197699","-","II"
"YBLWsigma1","YBLWsigma1","long_terminal_repeat","197714-198054","+","II"
"ARS231","ARS231","ARS","198313-198473","0","II"
"RRN6","YBL014C","ORF","199064-201748","-","II"
"FMT1","YBL013W","ORF","202056-203261","+","II"
"YBL012C","YBL012C","ORF","203406-203807","-","II"
"SCT1","YBL011W","ORF","203538-205817","+","II"
"YBL010C","YBL010C","ORF","206107-206949","-","II"
"ALK2","YBL009W","ORF","207194-209224","+","II"
"YBL008W-A","YBL008W-A","ORF","209409-209648","+","II"
"HIR1","YBL008W","ORF","209653-212175","+","II"
"SLA1","YBL007C","ORF","212632-216366","-","II"
"LDB7","YBL006C","ORF","216587-217129","-","II"
"YBL006W-A","YBL006W-A","ORF","216711-216860","+","II"
"PDR3","YBL005W","ORF","217470-220400","+","II"
"YBLWdelta8","YBLWdelta8","long_terminal_repeat","220895-221036","+","II"
"YBLWdelta9","YBLWdelta9","long_terminal_repeat","221037-221370","+","II"
"YBLWTy1-1","YBLWTy1-1","LTR_retrotransposon","221037-226952","+","II"
"YBL005W-A","YBL005W-A","transposable_element_gene","221330-222652","+","II"
"YBL005W-B","YBL005W-B","transposable_element_gene","221330-226598","+","II"
"YBLWdelta10","YBLWdelta10","long_terminal_repeat","226621-226952","+","II"
"tS(AGA)B","tS(AGA)B","tRNA_gene","227075-227156","+","II"
"UTP20","YBL004W","ORF","227636-235117","+","II"
"HTA2","YBL003C","ORF","235394-235792","-","II"
"HTB2","YBL002W","ORF","236492-236887","+","II"
"ECM15","YBL001C","ORF","237153-237467","-","II"
"ARS208","ARS208","ARS","237787-237900","0","II"
"CEN2","CEN2","centromere","238207-238323","+","II"
"NTH2","YBR001C","ORF","238941-241283","-","II"
"RER2","YBR002C","ORF","241708-242568","-","II"
"COQ1","YBR003W","ORF","242809-244230","+","II"
"GPI18","YBR004C","ORF","244366-245667","-","II"
"RCR1","YBR005W","ORF","245906-246547","+","II"
"UGA2","YBR006W","ORF","247010-248503","+","II"
"DSF2","YBR007C","ORF","248806-251016","-","II"
"FLR1","YBR008C","ORF","252563-254209","-","II"
"ARS209","ARS209","ARS","254998-255083","0","II"
"HHF1","YBR009C","ORF","255373-255684","-","II"
"HHT1","YBR010W","ORF","256331-256741","+","II"
"IPP1","YBR011C","ORF","257112-257975","-","II"
"YBRCdelta11","YBRCdelta11","long_terminal_repeat","258670-258976","-","II"
"YBR012C","YBR012C","ORF","259147-259566","-","II"
"YBRWdelta12","YBRWdelta12","long_terminal_repeat","259578-259909","+","II"
"YBRWTy1-2","YBRWTy1-2","LTR_retrotransposon","259578-265494","+","II"
"YBR012W-A","YBR012W-A","transposable_element_gene","259869-261191","+","II"
"YBR012W-B","YBR012W-B","transposable_element_gene","259869-265140","+","II"
"YBRWdelta13","YBRWdelta13","long_terminal_repeat","265163-265494","+","II"
"YBR013C","YBR013C","ORF","265492-265881","-","II"
"YBRCdelta14","YBRCdelta14","long_terminal_repeat","266178-266256","-","II"
"tT(AGU)B","tT(AGU)B","tRNA_gene","266378-266450","+","II"
"GRX7","YBR014C","ORF","266725-267336","-","II"
"MNN2","YBR015C","ORF","267710-269503","-","II"
"YBR016W","YBR016W","ORF","270247-270633","+","II"
"KAP104","YBR017C","ORF","270947-273703","-","II"
"GAL7","YBR018C","ORF","274427-275527","-","II"
"GAL10","YBR019C","ORF","276253-278352","-","II"
"GAL1","YBR020W","ORF","279021-280607","+","II"
"FUR4","YBR021W","ORF","281443-283344","+","II"
"POA1","YBR022W","ORF","283738-284271","+","II"
"CHS3","YBR023C","ORF","284428-287925","-","II"
"SCO2","YBR024W","ORF","289445-290350","+","II"
"OLA1","YBR025C","ORF","290681-291865","-","II"
"ETR1","YBR026C","ORF","292877-294019","-","II"
"YBR027C","YBR027C","ORF","294024-294356","-","II"
"YPK3","YBR028C","ORF","294425-296002","-","II"
"CDS1","YBR029C","ORF","296369-297742","-","II"
"RKM3","YBR030W","ORF","298292-299950","+","II"
"RPL4A","YBR031W","ORF","300166-301254","+","II"
"YBR032W","YBR032W","ORF","301519-301821","+","II"
"EDS1","YBR033W","ORF","301944-304703","+","II"
"HMT1","YBR034C","ORF","304930-305976","-","II"
"PDX3","YBR035C","ORF","306269-306955","-","II"
"SNR161","snR161","snoRNA_gene","307185-307345","-","II"
"TLC1","TLC1","telomerase_RNA_gene","307587-308887","+","II"
"CSG2","YBR036C","ORF","309081-310313","-","II"
"SCO1","YBR037C","ORF","310565-311452","-","II"
"CHS2","YBR038W","ORF","311898-314789","+","II"
"ATP3","YBR039W","ORF","315575-316510","+","II"
"FIG1","YBR040W","ORF","316968-317864","+","II"
"FAT1","YBR041W","ORF","318266-320275","+","II"
"CST26","YBR042C","ORF","320416-321609","-","II"
"QDR3","YBR043C","ORF","321876-323945","-","II"
"TCM62","YBR044C","ORF","324341-326059","-","II"
"ARS211","ARS211","ARS","326140-326375","0","II"
"tV(UAC)B","tV(UAC)B","tRNA_gene","326792-326865","-","II"
"YBRWdelta15","YBRWdelta15","long_terminal_repeat","327069-327394","+","II"
"YBRWdelta16","YBRWdelta16","long_terminal_repeat","327390-327704","+","II"
"GIP1","YBR045C","ORF","328173-330092","-","II"
"ZTA1","YBR046C","ORF","330507-331511","-","II"
"FMP23","YBR047W","ORF","331833-332360","+","II"
"RPS11B","YBR048W","ORF","332831-333812","+","II"
"REB1","YBR049C","ORF","334386-336818","-","II"
"REG2","YBR050C","ORF","337183-338199","-","II"
"YBR051W","YBR051W","ORF","337988-338338","+","II"
"RFS1","YBR052C","ORF","338720-339352","-","II"
"YBR053C","YBR053C","ORF","339675-340751","-","II"
"YRO2","YBR054W","ORF","343101-344135","+","II"
"PRP6","YBR055C","ORF","344602-347301","-","II"
"tL(UAA)B2","tL(UAA)B2","tRNA_gene","347603-347686","+","II"
"YBR056W","YBR056W","ORF","347879-349384","+","II"
"YBRWdelta17","YBRWdelta17","long_terminal_repeat","350459-350751","+","II"
"tQ(UUG)B","tQ(UUG)B","tRNA_gene","350827-350898","+","II"
"YBR056W-A","YBR056W-A","ORF","351255-351455","+","II"
"YBR056C-B","YBR056C-B","ORF","351293-351451","-","II"
"MUM2","YBR057C","ORF","352193-353293","-","II"
"UBP14","YBR058C","ORF","353672-356017","-","II"
"TSC3","YBR058C-A","ORF","356324-356566","-","II"
"AKL1","YBR059C","ORF","356861-360187","-","II"
"ORC2","YBR060C","ORF","360652-362514","-","II"
"TRM7","YBR061C","ORF","364787-365719","-","II"
"YBR062C","YBR062C","ORF","365976-366600","-","II"
"YBR063C","YBR063C","ORF","366970-368184","-","II"
"YBR064W","YBR064W","ORF","367763-368191","+","II"
"ECM2","YBR065C","ORF","368584-369678","-","II"
"NRG2","YBR066C","ORF","370037-370699","-","II"
"TIP1","YBR067C","ORF","372103-372735","-","II"
"BAP2","YBR068C","ORF","373861-375690","-","II"
"TAT1","YBR069C","ORF","376574-378433","-","II"
"ALG14","YBR070C","ORF","379221-379934","-","II"
"ARS212","ARS212","ARS","379221-379912","0","II"
"YBR071W","YBR071W","ORF","380411-381046","+","II"
"HSP26","YBR072W","ORF","382030-382674","+","II"
"YBR072C-A","YBR072C-A","ORF","382860-383021","-","II"
"RDH54","YBR073W","ORF","383112-385988","+","II"
"PFF1","YBR074W","ORF","386286-389216","+","II"
"ARS213","ARS213","ARS","389212-390371","0","II"
"ECM8","YBR076W","ORF","390227-391291","+","II"
"YBR076C-A","YBR076C-A","ORF","391351-391617","-","II"
"SLM4","YBR077C","ORF","391805-392293","-","II"
"ECM33","YBR078W","ORF","393123-394742","+","II"
"RPG1","YBR079C","ORF","395383-398277","-","II"
"SEC18","YBR080C","ORF","398614-400890","-","II"
"SPT7","YBR081C","ORF","401253-405251","-","II"
"tR(UCU)B","tR(UCU)B","tRNA_gene","405878-405949","+","II"
"tD(GUC)B","tD(GUC)B","tRNA_gene","405960-406031","+","II"
"UBC4","YBR082C","ORF","406628-407169","-","II"
"ARS214","ARS214","ARS","407953-408068","0","II"
"TEC1","YBR083W","ORF","409169-410629","+","II"
"MIS1","YBR084W","ORF","411054-413981","+","II"
"RPL19A","YBR084C-A","ORF","414186-415261","-","II"
"AAC3","YBR085W","ORF","415983-416906","+","II"
"ARS215","ARS215","ARS","417784-418079","0","II"
"YBR085C-A","YBR085C-A","ORF","418907-419164","-","II"
"IST2","YBR086C","ORF","420201-423041","-","II"
"RFC5","YBR087W","ORF","423765-424829","+","II"
"POL30","YBR088C","ORF","424990-425766","-","II"
"YBR089W","YBR089W","ORF","425183-425782","+","II"
"NHP6B","YBR089C-A","ORF","426190-426489","-","II"
"YBR090C","YBR090C","ORF","426333-427058","-","II"
"TIM12","YBR091C","ORF","427155-427484","-","II"
"PHO3","YBR092C","ORF","427698-429101","-","II"
"PHO5","YBR093C","ORF","429548-430951","-","II"
"PBY1","YBR094W","ORF","432036-434297","+","II"
"RXT2","YBR095C","ORF","434406-435698","-","II"
"YBR096W","YBR096W","ORF","436021-436713","+","II"
"VPS15","YBR097W","ORF","436951-441315","+","II"
"MMS4","YBR098W","ORF","441515-443590","+","II"
"YBR099C","YBR099C","ORF","442924-443307","-","II"
"FES1","YBR101C","ORF","443821-444693","-","II"
"EXO84","YBR102C","ORF","445062-447323","-","II"
"SIF2","YBR103W","ORF","447709-449316","+","II"
"YBR103C-A","YBR103C-A","ORF","449320-449463","-","II"
"YMC2","YBR104W","ORF","449667-450656","+","II"
"VID24","YBR105C","ORF","450881-451969","-","II"
"PHO88","YBR106W","ORF","452658-453224","+","II"
"IML3","YBR107C","ORF","453793-454530","-","II"
"AIM3","YBR108W","ORF","454822-457665","+","II"
"CMD1","YBR109C","ORF","457919-458362","-","II"
"YBR109W-A","YBR109W-A","ORF","458608-458832","+","II"
"ALG1","YBR110W","ORF","458872-460221","+","II"
"YSA1","YBR111C","ORF","461178-461873","-","II"
"SUS1","YBR111W-A","ORF","462139-462579","+","II"
"CYC8","YBR112C","ORF","462870-465770","-","II"
"YBR113W","YBR113W","ORF","465566-466048","+","II"
"RAD16","YBR114W","ORF","467248-469620","+","II"
"LYS2","YBR115C","ORF","469748-473926","-","II"
"YBR116C","YBR116C","ORF","474199-474726","-","II"
"TKL2","YBR117C","ORF","474392-476437","-","II"
"TEF2","YBR118W","ORF","477671-479047","+","II"
"MUD1","YBR119W","ORF","479338-480323","+","II"
"CBP6","YBR120C","ORF","480435-480923","-","II"
"GRS1","YBR121C","ORF","481364-483367","-","II"
"YBR121C-A","YBR121C-A","ORF","482326-482484","-","II"
"MRPL36","YBR122C","ORF","483970-484503","-","II"
"TFC1","YBR123C","ORF","484742-486691","-","II"
"YBR124W","YBR124W","ORF","486507-486866","+","II"
"ARS216","ARS216","ARS","486707-486954","0","II"
"PTC4","YBR125C","ORF","487199-488380","-","II"
"TPS1","YBR126C","ORF","488905-490392","-","II"
"MEO1","YBR126W-A","ORF","490850-491056","+","II"
"YBR126W-B","YBR126W-B","ORF","490927-491070","+","II"
"VMA2","YBR127C","ORF","491269-492822","-","II"
"ATG14","YBR128C","ORF","493081-494115","-","II"
"OPY1","YBR129C","ORF","494353-495339","-","II"
"SHE3","YBR130C","ORF","495592-496869","-","II"
"CCZ1","YBR131W","ORF","497163-499277","+","II"
"YBR131C-A","YBR131C-A","ORF","497650-497739","-","II"
"AGP2","YBR132C","ORF","499652-501442","-","II"
"HSL7","YBR133C","ORF","501804-504287","-","II"
