Gene ID	Entrez Gene ID	Gene Symbol	Gene Name	Organism	Unigene ID	Ensembl ID	UniProt ID	Alias	Lifespan Effect	Phenotype Description	Longevity Influence	Max Lifespan Change	Avg Lifespan Change	Method	Bibliographic reference
149	853452	CYR1	Adenylate cyclase	Saccharomyces cerevisiae		YJL005W		CDC35 FIL1 HSR1 SRA4 TSM0185	increase	Mutations in adenylate cyclase and SCH9, which is homologous to Akt/PKB, increase resistance to oxidants and extend LS by up to threefold. Stress-resistance transcription factors Msn2/Msn4 and protein kinase Rim15 are required for this lifespan extension. A transposon mutagenized allele of CYR1 extends chronological life span, as measured by stationary phase survival, by 90%.	anti		90	Mutations	2346: Fabrizio et al. (2001) "Regulation of longevity and stress resistance by Sch9 in yeast."  Science 292(5515):288-290 (11292860)
149	853452	CYR1	Adenylate cyclase	Saccharomyces cerevisiae		YJL005W		CDC35 FIL1 HSR1 SRA4 TSM0185	increase	The CDC35-1 allele confers a 75% extension of replicative life span at 25 C	anti		75	Mutation	2260: Lin et al. (2000) "Requirement of NAD and SIR2 for life-span extension by calorie restriction in Saccharomyces cerevisiae."  Science 289(5487):2126-2128 (11000115)
1724	850750	RPL22A	Ribosomal Protein of the Large subunit	Saccharomyces cerevisiae		YLR061W			increase	Replicative lifespan increased by 40%-90% in the alpha and a strains 	anti		90	Deletion	2505: Steffen et al. (2008) "Yeast life span extension by depletion of 60s ribosomal subunits is mediated by Gcn4."  Cell 133(2):292-302 (18423200)
2017	854284	RPT5	proteasome regulatory particle base subunit RPT5	Saccharomyces cerevisiae				YTA1	decrease	Rpt5 mutants exhibit reduced replicative lifespan.	fitness		85	Mutation	3563: Kruegel et al. (2011) "Elevated proteasome capacity extends replicative lifespan in Saccharomyces cerevisiae."  PLoS Genet. 7(9):e1002253 (21931558)
1627	851250	SPC72	Spindle Pole Component	Saccharomyces cerevisiae		YAL047C		LDB4	decrease	Replicative lifespan decreased by 80% in the alpha strain 	fitness		80	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1630	853718	CTK1	Carboxy-Terminal domain Kinase	Saccharomyces cerevisiae		YKL139W			decrease	Replicative lifespan decreased by 80% in the alpha strain 	fitness		80	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1633	852424	VMA2	Vacuolar Membrane Atpase	Saccharomyces cerevisiae		YBR127C		VAT2	decrease	Replicative lifespan decreased by 80% in the alpha strain 	fitness		80	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1680	852499	BEM1	Bud EMergence	Saccharomyces cerevisiae		YBR200W		SRO1	decrease	Replicative lifespan decreased by 75% in the alpha strain 	fitness		75	Deletion	2527: Liu et al. (2010) "The polarisome is required for segregation and retrograde transport of protein aggregates."  Cell 140(2):257-267 (20141839)
1735	851384	UGA3	Utilization of GAba	Saccharomyces cerevisiae		YDL170W			increase	Mean replicative lifespan increased by 75% in the alpha strain 	anti		75	Deletion	2531: Yoshida et al. (2010) "Metabolomics-based systematic prediction of yeast lifespan and its application for semi-rational screening of ageing-related mutants."  Aging Cell 9(4):616-625 (20550517)
1699	853327	ASF1	Anti-Silencing Function	Saccharomyces cerevisiae		YJL115W		CIA1	decrease	Replicative lifespan decreased by 65% in the alpha strain 	fitness		65	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1699	853327	ASF1	Anti-Silencing Function	Saccharomyces cerevisiae		YJL115W		CIA1	decrease	Yeast lacking Asf1 are short lived, having a median replicative life span of about 7 generations in comparison to the median life span of about 27 generations for wild-type yeast in multiple yeast backgrounds. Asf1 mutants also exhibit some phenotypes characteristic of aging.	fitness		74	Deletion	
532	855471	RAD50	Subunit of MRX complex, with Mre11p and Xrs2p	Saccharomyces cerevisiae		YNL250W			decrease	Mutations result in a 70% reduced lifespan.	fitness		70	Mutations	192: Park et al. (1999) "Effects of mutations in DNA repair genes on formation of ribosomal DNA circles and life span in Saccharomyces cerevisiae."  Mol. Cell. Biol. 19(5):3848-3856 (10207108)
534	854976	RAD52	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	Saccharomyces cerevisiae		YML032C			decrease	Mutations result in a 70% reduced lifespan.	fitness		70	Mutations	192: Park et al. (1999) "Effects of mutations in DNA repair genes on formation of ribosomal DNA circles and life span in Saccharomyces cerevisiae."  Mol. Cell. Biol. 19(5):3848-3856 (10207108)
1218	856576	ATG7	AuTophaGy related	Saccharomyces cerevisiae		YHR171W		APG11 APG7 CVT2	decrease	Mean chronological lifespan decreased in the a strain 	fitness			Deletion	2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
1218	856576	ATG7	AuTophaGy related	Saccharomyces cerevisiae		YHR171W		APG11 APG7 CVT2	decrease	Reduced chronological lifespan by 70%	fitness		70	Deletion	2515: Alvers et al. (2009) "Autophagy and amino acid homeostasis are required for chronological longevity in Saccharomyces cerevisiae."  Aging Cell 8(4):353-369 (19302372)
1413	852695	ATG1	AuTophaGy related	Saccharomyces cerevisiae		YGL180W		APG1 AUT3 CVT10	decrease	Replicative lifespan decreased by 20% in the alpha strain 	fitness		20	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1413	852695	ATG1	AuTophaGy related	Saccharomyces cerevisiae		YGL180W		APG1 AUT3 CVT10	decrease	Reduced chronological lifespan by 70%	fitness		70	Deletion	2515: Alvers et al. (2009) "Autophagy and amino acid homeostasis are required for chronological longevity in Saccharomyces cerevisiae."  Aging Cell 8(4):353-369 (19302372)
1600	850846	ACS2	Acetyl CoA Synthetase	Saccharomyces cerevisiae		YLR153C			decrease	Replicative lifespan decreased by 70% in the alpha strain 	pro		70	Deletion	2509: Falcón et al. (2010) "Acetyl-coenzyme A synthetase 2 is a nuclear protein required for replicative longevity in Saccharomyces cerevisiae."  Mol. Cell. Biochem. 333(1-2):99-9108 (19618123)
1601	851881	INM2	INositol Monophosphatase	Saccharomyces cerevisiae		YDR287W			decrease	Replicative lifespan decreased by 70% in the alpha strain 	fitness		70	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1602	853962	OMA1	Overlapping activity with M-AAA protease	Saccharomyces cerevisiae		YKR087C			decrease	Replicative lifespan decreased by 70% in the alpha strain 	fitness		70	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1664	851142	ATG17	AuTophaGy related	Saccharomyces cerevisiae		YLR423C		APG17	decrease	Replicative lifespan decreased by 70% on CR medium	fitness		70	Deletion	2514: Tang et al. (2008) "A life-span extending form of autophagy employs the vacuole-vacuole fusion machinery."  Autophagy 4(7):874-886 (18690010)
1667	852660	VAM7	VAcuolar Morphogenesis	Saccharomyces cerevisiae		YGL212W		VPL24 VPS43	decrease	Replicative lifespan decreased by 70% on CR medium	fitness		70	Deletion	2514: Tang et al. (2008) "A life-span extending form of autophagy employs the vacuole-vacuole fusion machinery."  Autophagy 4(7):874-886 (18690010)
2015	851557	RPT2	proteasome regulatory particle base subunit RPT2	Saccharomyces cerevisiae				YHS4 YTA5	decrease	Rpt2 mutants exhibit reduced replicative lifespan.	fitness		68	Mutation	3563: Kruegel et al. (2011) "Elevated proteasome capacity extends replicative lifespan in Saccharomyces cerevisiae."  PLoS Genet. 7(9):e1002253 (21931558)
2021	850711	UBR2	putative ubiquitin-protein ligase UBR2	Saccharomyces cerevisiae					increase	Ubr2 mutants exhibit increased replicative lifespan.	anti		67	Deletion	3563: Kruegel et al. (2011) "Elevated proteasome capacity extends replicative lifespan in Saccharomyces cerevisiae."  PLoS Genet. 7(9):e1002253 (21931558)
430	852433	MEC1	Mec1p	Saccharomyces cerevisiae		YBR136W		ESR1 RAD31 SAD3	decrease	Mutants have a 3-fold reduced mean and maximum chronological lifespan under conditions of medium depletion.	fitness		66	Mutation	2267: Weinberger et al. (2007) "DNA replication stress is a determinant of chronological lifespan in budding yeast."  PLoS ONE 2(8):e748 (17710147)
1734	852638	FZF1	Five Zinc Fingers	Saccharomyces cerevisiae		YGL254W		NRC299 RSU1 SUL1	increase	Mean replicative lifespan increased by 66% in the alpha strain 	anti		66	Deletion	2531: Yoshida et al. (2010) "Metabolomics-based systematic prediction of yeast lifespan and its application for semi-rational screening of ageing-related mutants."  Aging Cell 9(4):616-625 (20550517)
592	854549	SCP1	Scp1p	Saccharomyces cerevisiae		YOR367W			increase	Deletion increased lifespan by over 65%.	anti		65	Deletion	2353: Gourlay et al. (2004) "A role for the actin cytoskeleton in cell death and aging in yeast."  J. Cell Biol. 164(6):803-809 (15024029)
1681	855450	BNI1	Bud Neck Involved	Saccharomyces cerevisiae		YNL271C		PPF3 SHE5	decrease	Deletion decreased replicative lifespan of the alpha-strain by 65%	fitness		65	Deletion	2527: Liu et al. (2010) "The polarisome is required for segregation and retrograde transport of protein aggregates."  Cell 140(2):257-267 (20141839)
2018	852834	RPT6	proteasome regulatory particle base subunit RPT6	Saccharomyces cerevisiae				CIM3 CRL3 SCB68 SUG1	decrease	Rpt6 mutants exhibit reduced replicative lifespan.	fitness		63	Mutation	3563: Kruegel et al. (2011) "Elevated proteasome capacity extends replicative lifespan in Saccharomyces cerevisiae."  PLoS Genet. 7(9):e1002253 (21931558)
1045	853507	CYC1	CYtochrome C	Saccharomyces cerevisiae		YJR048W			decrease	Mean replicative lifespan decreased in the alpha and a strain 	fitness			Deletion	2500: Fabrizio et al. (2010) "Genome-wide screen in Saccharomyces cerevisiae identifies vacuolar protein sorting, autophagy, biosynthetic, and tRNA methylation genes involved in life span regulation."  PLoS Genet. 6(7):e1001024 (20657825)
1045	853507	CYC1	CYtochrome C	Saccharomyces cerevisiae		YJR048W			decrease	Mean chronological lifespan decreased in the a strain by more than 50%	fitness		50	Deletion	2502: Laschober et al. (2010) "Identification of evolutionarily conserved genetic regulators of cellular aging."  Aging Cell 9(6):1084-1097 (20883526)
1045	853507	CYC1	CYtochrome C	Saccharomyces cerevisiae		YJR048W			decrease	Replicative lifespan decreased by 60% in the alpha strain 	fitness		60	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1542	855418	CLA4	CLn Activity dependant	Saccharomyces cerevisiae		YNL298W		ERC10	decrease	Replicative lifespan decreased by 60% in the alpha strain 	fitness		60	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1542	855418	CLA4	CLn Activity dependant	Saccharomyces cerevisiae		YNL298W		ERC10	decrease	Replicative lifespan decreased by 60% in the alpha strain 	fitness		60	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1546	852276	SLA1	Synthetic Lethal with ABP1	Saccharomyces cerevisiae		YBL007C			decrease	Replicative lifespan decreased by 60% in the alpha strain 	fitness		60	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1547	854156	TOP1	TOPoisomerase	Saccharomyces cerevisiae		YOL006C		MAK1 MAK17	decrease	Replicative lifespan decreased by 60% in the alpha strain 	fitness		60	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1548	854273	VAM3	VAcuolar Morphogenesis	Saccharomyces cerevisiae		YOR106W		PTH1	decrease	Replicative lifespan decreased by 60% in the alpha strain 	fitness		60	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1548	854273	VAM3	VAcuolar Morphogenesis	Saccharomyces cerevisiae		YOR106W		PTH1	decrease	Replicative lifespan decreased by 60% 	fitness		60	Deletion	2514: Tang et al. (2008) "A life-span extending form of autophagy employs the vacuole-vacuole fusion machinery."  Autophagy 4(7):874-886 (18690010)
1549	852997	VMA21	Vma21p	Saccharomyces cerevisiae		YGR105W			decrease	Replicative lifespan decreased by 60% in the alpha strain 	fitness		60	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1550	851168	VMA6	Vma6p	Saccharomyces cerevisiae		YLR447C			decrease	Replicative lifespan decreased by 60% in the alpha strain 	fitness		60	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1551	852962	ENV11	late ENdosome and Vacuole interface function	Saccharomyces cerevisiae		YGR071C			decrease	Replicative lifespan decreased by 60% in the alpha strain 	fitness		60	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1555	852984	DBF2	DumbBell Forming	Saccharomyces cerevisiae		YGR092W			decrease	Replicative lifespan decreased by 60% in the alpha strain 	fitness		60	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1671	853045	SKN1	Suppressor of Kre Null	Saccharomyces cerevisiae		YGR143W			increase	Chronological lifespan increased by 60% for single skn1 and double ipt1-skn1 deletion	anti		60	Deletion	2519: Aerts et al. (2006) "Level of M(IP)2C sphingolipid affects plant defensin sensitivity, oxidative stress resistance and chronological life-span in yeast."  FEBS Lett. 580(7):1903-1907 (16527275)
1720	850941	VPS34	Vacuolar Protein Sorting	Saccharomyces cerevisiae		YLR240W		END12 PEP15 STT8 VPL7 VPS7 VPT29	decrease	Replicative lifespan decreased by 60% in the a strain 	fitness		60	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1727	854759	RPL34B	Ribosomal Protein of the Large subunit	Saccharomyces cerevisiae		YIL052C			increase	Replicative lifespan increased by 30% in the alpha strain and 60% in a strain	anti		60	Deletion	2505: Steffen et al. (2008) "Yeast life span extension by depletion of 60s ribosomal subunits is mediated by Gcn4."  Cell 133(2):292-302 (18423200)
1729	856156	RPL43A	Ribosomal Protein of the Large subunit	Saccharomyces cerevisiae		YPR043W			decrease	Replicative lifespan decreased by 60% in the alpha strain and by 50% in a strain	fitness		60	Deletion	2505: Steffen et al. (2008) "Yeast life span extension by depletion of 60s ribosomal subunits is mediated by Gcn4."  Cell 133(2):292-302 (18423200)
1916	854372	MCA1	Ca(2+)-dependent cysteine protease MCA1	Saccharomyces cerevisiae				YCA1	increase	Lack of Mca1 has little effect on replicative life span in wild type yeast cells, and an accelerated aging effect in cells also lacking Ydj1. Overexpression of Mca1 extends lifespan by 46-56% in a Ydj1 dependent manner.	pro		56	Overexpression	3523: Hill et al. (2014) "Life-span extension by a metacaspase in the yeast Saccharomyces cerevisiae."  Science 344(6190):1389-1392 (24855027)
1707	856263	KAR3	KARyogamy	Saccharomyces cerevisiae		YPR141C		OSR11	increase	Replicative lifespan increased by 55% in the alpha strain 	anti		55	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1733	851990	RPP2B	Ribosomal Protein P2 Beta	Saccharomyces cerevisiae		YDR382W		RPL45 YPA1	increase	Replicative lifespan increased by 55% in the alpha strain and 45% in a strain	anti		55	Deletion	2505: Steffen et al. (2008) "Yeast life span extension by depletion of 60s ribosomal subunits is mediated by Gcn4."  Cell 133(2):292-302 (18423200)
2016	852003	RPT3	proteasome regulatory particle base subunit RPT3	Saccharomyces cerevisiae				YNT1 YTA2	decrease	Rpt3 mutants exhibit reduced replicative lifespan.	fitness		55	Mutation	3563: Kruegel et al. (2011) "Elevated proteasome capacity extends replicative lifespan in Saccharomyces cerevisiae."  PLoS Genet. 7(9):e1002253 (21931558)
29	853585	ATP2	ATP synthase F1 subunit gamma	Saccharomyces cerevisiae		YJR121W			decrease	A mutation causes a clonal senescence phenotype resulting from the disruption of the age asymmetry between mother and daughter cells in that that daughter cells are born old.	pro			Mutation	2245: Lai et al. (2002) "A mutation in the ATP2 gene abrogates the age asymmetry between mother and daughter cells of the yeast Saccharomyces cerevisiae."  Genetics 162(1):73-87 (12242224)
29	853585	ATP2	ATP synthase F1 subunit gamma	Saccharomyces cerevisiae		YJR121W			decrease	Replicative lifespan decreased by 50% in the alpha strain 	fitness		50	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
98	855054	CCS1	Ccs1p	Saccharomyces cerevisiae		YMR038C		LYS7	decrease	Deletion reduced replicative lifespan by 50%.	fitness		50	Deletion	2257: Unlu and Koc (2007) "Effects of deleting mitochondrial antioxidant genes on life span."  Ann. N. Y. Acad. Sci. 1100:505-509 (17460215)
105	851019	CDC25	Cdc25p	Saccharomyces cerevisiae		YLR310C		CTN1	increase	Knockout mutants live about 50% longer than controls.	anti		50	Knockout	2260: Lin et al. (2000) "Requirement of NAD and SIR2 for life-span extension by calorie restriction in Saccharomyces cerevisiae."  Science 289(5487):2126-2128 (11000115)
126	856099	CHL1	Chl1p	Saccharomyces cerevisiae		YPL008W		CTF1 LPA9 MCM12	decrease	It may modulate transcriptional silencing in the presence of Sir proteins. Knockouts exhibit a shortened lifespan and are hypersensitivity to heat stress.	fitness			Knockout	2266: Das and Sinha (2005) "The budding yeast protein Chl1p has a role in transcriptional silencing, rDNA recombination, and aging."  Biochem. Biophys. Res. Commun. 337(1):167-172 (16182251)
126	856099	CHL1	Chl1p	Saccharomyces cerevisiae		YPL008W		CTF1 LPA9 MCM12	decrease	Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%	fitness		50	Deletion	2502: Laschober et al. (2010) "Identification of evolutionarily conserved genetic regulators of cellular aging."  Aging Cell 9(6):1084-1097 (20883526)
284	851688	FOB1	Fob1p	Saccharomyces cerevisiae		YDR110W		HRM1	increase	Knocking out this gene extends lifespan by 30-50%.	anti		50	Knockout	2294: Defossez et al. (1999) "Elimination of replication block protein Fob1 extends the life span of yeast mother cells."  Mol. Cell 3(4):447-455 (10230397)
284	851688	FOB1	Fob1p	Saccharomyces cerevisiae		YDR110W		HRM1	increase	Mean chronological lifespan strongly increased in the a strain 	anti			Deletion	2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
284	851688	FOB1	Fob1p	Saccharomyces cerevisiae		YDR110W		HRM1	increase	About 20% mean replicative lifespan increase	anti		20	Deletion	1570: Kaeberlein et al. (2005) "Regulation of yeast replicative life span by TOR and Sch9 in response to nutrients."  Science 310(5751):1193-1196 (16293764)
284	851688	FOB1	Fob1p	Saccharomyces cerevisiae		YDR110W		HRM1	increase	Deletion of fob1 causes extension in the short life span of the sir2 mutant extended by ~50%	anti		50	Deletion	200: Kaeberlein et al. (1999) "The SIR2/3/4 complex and SIR2 alone promote longevity in Saccharomyces cerevisiae by two different mechanisms."  Genes Dev. 13(19):2570-2580 (10521401)
284	851688	FOB1	Fob1p	Saccharomyces cerevisiae		YDR110W		HRM1	increase	Replicative lifespan increased by 25% in the alpha strain and by 10% in a strain	anti		25	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
295	853167	GCN5	Histone acetyltransferase	Saccharomyces cerevisiae		YGR252W		AAS104 ADA4 SWI9	decrease	Deletion suppressed extension of replicative lifespan.	fitness			Deletion	2299: Kim et al. (2004) "The histone acetyltransferase GCN5 modulates the retrograde response and genome stability determining yeast longevity."  Biogerontology 5(5):305-316 (15547318)
295	853167	GCN5	Histone acetyltransferase	Saccharomyces cerevisiae		YGR252W		AAS104 ADA4 SWI9	decrease	Mean chronological lifespan strongly decreased in the a strain 	fitness			Deletion	2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
295	853167	GCN5	Histone acetyltransferase	Saccharomyces cerevisiae		YGR252W		AAS104 ADA4 SWI9	decrease	Mean chronological lifespan decreased in the a strain by more than 50%	fitness		50	Deletion	2502: Laschober et al. (2010) "Identification of evolutionarily conserved genetic regulators of cellular aging."  Aging Cell 9(6):1084-1097 (20883526)
295	853167	GCN5	Histone acetyltransferase	Saccharomyces cerevisiae		YGR252W		AAS104 ADA4 SWI9	decrease	Strongly reduced chronological lifespan	fitness			Deletion	2508: Eisenberg et al. (2009) "Induction of autophagy by spermidine promotes longevity."  Nat. Cell Biol. 11(11):1305-1314 (19801973)
323	851527	GPR1	Gpr1p	Saccharomyces cerevisiae		YDL035C			increase	Deletion increases lifespan by about 50%.	anti		50	Deletion	2260: Lin et al. (2000) "Requirement of NAD and SIR2 for life-span extension by calorie restriction in Saccharomyces cerevisiae."  Science 289(5487):2126-2128 (11000115)
357	852639	HXK2	hexokinase 2	Saccharomyces cerevisiae		YGL253W		HEX1 HKB SCI2	increase	Deletion extends lifespan about 50%.	anti		50	Deletion	2260: Lin et al. (2000) "Requirement of NAD and SIR2 for life-span extension by calorie restriction in Saccharomyces cerevisiae."  Science 289(5487):2126-2128 (11000115)
357	852639	HXK2	hexokinase 2	Saccharomyces cerevisiae		YGL253W		HEX1 HKB SCI2	increase	Mean chronological lifespan strongly increased in the a strain 	anti			Deletion	2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
398	856386	LAG1	Ceramide synthase component	Saccharomyces cerevisiae		YHL003C			increase	Deletion increased mean and maximum lifespan by approximately 50%.	anti	50	50	Deletion	2249: D'mello et al. (1994) "Cloning and characterization of LAG1, a longevity-assurance gene in yeast."  J. Biol. Chem. 269(22):15451-15459 (8195187)
531	853747	RAD27	Rad27p	Saccharomyces cerevisiae		YKL113C		ERC11 FEN1 RTH1	decrease	Mutations result in signs of premature ageing.	pro			Mutations	1425: Hoopes et al. (2002) "Mutations in DNA replication genes reduce yeast life span."  Mol. Cell. Biol. 22(12):4136-4146 (12024027)
531	853747	RAD27	Rad27p	Saccharomyces cerevisiae		YKL113C		ERC11 FEN1 RTH1	decrease	Mean chronological lifespan decreased in the a strain by more than 50%	fitness		50	Deletion	2502: Laschober et al. (2010) "Identification of evolutionarily conserved genetic regulators of cellular aging."  Aging Cell 9(6):1084-1097 (20883526)
536	851803	RAD9	Rad9p	Saccharomyces cerevisiae		YDR217C			decrease	Deletion results in mutants with a 2-fold decrease in mean and maximum chronological lifespan under conditions of nutrient depletion.	fitness		50	Deletion	2267: Weinberger et al. (2007) "DNA replication stress is a determinant of chronological lifespan in budding yeast."  PLoS ONE 2(8):e748 (17710147)
